cohort_name,modality,device,task,feature_set,model,seed,metric,ci_low,ci_high,n_bootstrap
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,sensitivity,0.9336035114174924,0.9832069413131106,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,specificity,0.007008937324357885,0.031965298893451614,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,accuracy,0.3101361573373676,0.3827534039334342,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,brier_score,0.24654812587387914,0.2538708165502975,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,ece,0.11472141157482563,0.18625246314952215,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,positive_prediction_rate,0.962178517397882,0.9848714069591528,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,auroc,0.5104652608720436,0.5996531088552524,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,auprc,0.3345853606247724,0.442358818837591,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,balanced_accuracy,0.4838237156181784,0.5498101427115188,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,macro_f1,0.3876005736521312,0.46593931246853726,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,sensitivity,0.7315968122786305,0.8366672843509683,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,specificity,0.207720563681293,0.2905486616424116,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,accuracy,0.39334341906202724,0.4735249621785174,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,brier_score,0.2499650611353549,0.27629322034764847,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,ece,0.12336054729811591,0.1950174674278033,1000
core3_same_cohort,eeg,,rest,modality_demographics,logistic_regression,20260707,positive_prediction_rate,0.7322239031770046,0.7972768532526475,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,auroc,0.46538920512570064,0.556531725676822,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,auprc,0.31805464498768543,0.4221887368387073,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,balanced_accuracy,0.4633293092929455,0.5118104544798178,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,macro_f1,0.2981403891407909,0.3611939190732833,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,sensitivity,0.8384246957168076,0.918105407523511,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,specificity,0.07093013557961457,0.12614788117081693,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,accuracy,0.334304084720121,0.405446293494705,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,brier_score,0.22862841957937033,0.24666619352572722,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,ece,0.06247528847719225,0.12941263452608537,1000
core3_same_cohort,eeg,,rest,modality_demographics,random_forest,20260707,positive_prediction_rate,0.8714069591527988,0.9183055975794251,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,auroc,0.5145867072726014,0.6018382106253453,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,auprc,0.32879598418943917,0.4340531557669919,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,balanced_accuracy,0.5258536151926453,0.5690704996583927,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,macro_f1,0.36336738961582127,0.43458961496121556,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,sensitivity,0.9030729796109314,0.9638581352436774,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,specificity,0.12857065048241517,0.19483717852357768,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,accuracy,0.3888048411497731,0.4644856278366111,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,brier_score,0.24269514219328828,0.24954186985440527,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,ece,0.11296231594913723,0.1853658098284673,1000
core3_same_cohort,face,,self_intro,demographics,hist_gradient_boosting,20260707,positive_prediction_rate,0.848714069591528,0.897125567322239,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,auroc,0.5275179771011395,0.6212562380173415,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,auprc,0.3414887447686072,0.45628705936013525,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,balanced_accuracy,0.5279525747812083,0.6107126888140346,1000
core3_same_cohort,face,,self_intro,demographics,logistic_regression,20260707,macro_f1,0.5131280036988703,0.592071303569233,1000
