cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,fixed_0_5,0.5,1827,611,1216,0.4748894984494788,0.3157995031581895,0.4834786049616676,0.4826306129979826,0.36333878887070375,0.6036184210526315,0.5232621784345922,0.25086373561488945,0.15371706967262383,0.3853311439518336,0.4749800706302012,0.015396918267925781,0.32878269838456786,0.028169916275157095,0.48357007527424384,0.01679433214595158,0.48242827351303913,0.017030952962246028,0.3633106599314297,0.02503679550586958,0.6038294906170578,0.034647555842770836,0.5232445391189906,0.018990796540102408,0.25086182182621763,0.0019401974083031058,0.1577906968748342,0.0040749630107875506,0.3853993770582999,0.02761307869066157
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,inner_cv,0.4,1827,611,1216,0.4748894984494788,0.3157995031581895,0.4924176554828151,0.31178915135608054,0.9067103109656302,0.078125,0.3552271483305966,0.25086373561488945,0.15371706967262383,0.9168035030103996,0.4749800706302012,0.015396918267925781,0.32878269838456786,0.028169916275157095,0.49059087130838847,0.013750874469996451,0.3029175326740049,0.04866914114348462,0.9042335795566829,0.11480790085600111,0.07694816306009382,0.09150639418293709,0.3552354111396797,0.01665874618333205,0.25086182182621763,0.0019401974083031058,0.1577906968748342,0.0040749630107875506,0.9168945146929927,0.09862900065033467
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,fixed_0_5,0.5,1022,351,671,0.5094513865005668,0.36770768553253286,0.4949919540083475,0.4805936073059361,0.5071225071225072,0.4828614008941878,0.4911937377690802,0.24762341093825727,0.15196657807529712,0.5136986301369864,0.5060940753741774,0.03813433695394472,0.37491052268587477,0.04929125886017339,0.49417721324026065,0.02462781811943543,0.475607595125864,0.02808245561200613,0.50013261909715,0.1280633438029064,0.48822180738337134,0.11367171251353143,0.4932276730335978,0.03983646643609244,0.247577780631489,0.002554423725038985,0.1522533519401322,0.02596676679370577,0.5084411194776228,0.11678672658741712
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,inner_cv,0.5,1022,351,671,0.5094513865005668,0.36770768553253286,0.4949919540083475,0.4805936073059361,0.5071225071225072,0.4828614008941878,0.4911937377690802,0.24762341093825727,0.15196657807529712,0.5136986301369864,0.5060940753741774,0.03813433695394472,0.37491052268587477,0.04929125886017339,0.49417721324026065,0.02462781811943543,0.475607595125864,0.02808245561200613,0.50013261909715,0.1280633438029064,0.48822180738337134,0.11367171251353143,0.4932276730335978,0.03983646643609244,0.247577780631489,0.002554423725038985,0.1522533519401322,0.02596676679370577,0.5084411194776228,0.11678672658741712
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,fixed_0_5,0.5,1022,351,671,0.5082646558056394,0.358547317244547,0.5034731510141346,0.4868652598431338,0.5270655270655271,0.4798807749627422,0.49608610567514677,0.25062740236789,0.1577105973062325,0.5225048923679061,0.5075816884515566,0.019472696240470537,0.3827035558584183,0.03716408510884986,0.5022413154464008,0.011307996342939572,0.48511980691947354,0.013948034864899926,0.5274111972123985,0.01690031451937443,0.477071433680403,0.0388012550952511,0.4950053000847177,0.020000775893981953,0.2506251327791059,0.0016252987051244905,0.1570451957254554,0.028440558413718585,0.5242142532979112,0.031603832244599214
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,inner_cv,0.55,1022,351,671,0.5082646558056394,0.358547317244547,0.5032651016257573,0.41382610376970685,0.019943019943019943,0.9865871833084948,0.6545988258317026,0.25062740236789,0.1577105973062325,0.015655577299412915,0.5075816884515566,0.019472696240470537,0.3827035558584183,0.03716408510884986,0.5027404591422455,0.005941808573031381,0.4105256407151163,0.027340095809393616,0.018688024408848206,0.03426556437103921,0.9867928938756428,0.025266265458187085,0.6539187442684978,0.029488234785950487,0.2506251327791059,0.0016252987051244905,0.1570451957254554,0.028440558413718585,0.015044802923313838,0.028268894697471323
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,fixed_0_5,0.5,1022,351,671,0.49779637484555517,0.3575600771732965,0.48476144377783725,0.48436200666334606,0.30484330484330485,0.6646795827123696,0.541095890410959,0.2496356606558381,0.12391872746331192,0.324853228962818,0.502250496636103,0.02907809469607518,0.36613549837010134,0.023902948629508054,0.4865821159944983,0.018051069403685716,0.48392627735709726,0.017093611051097034,0.30556220095693776,0.04148381100901101,0.6676020310320588,0.06434429091045378,0.5414133034114215,0.025312116939635275,0.24975693385167172,0.005371745684011164,0.12922087255192982,0.03293431704405626,0.32353344117457056,0.055551033118622625
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,inner_cv,0.4,1022,351,671,0.49779637484555517,0.3575600771732965,0.49821035066936703,0.4481324463746137,0.6581196581196581,0.338301043219076,0.4481409001956947,0.2496356606558381,0.12391872746331192,0.6604696673189824,0.502250496636103,0.02907809469607518,0.36613549837010134,0.023902948629508054,0.5000204884707399,0.024736390661266847,0.4460897362256224,0.0457388265705071,0.6602101535954511,0.06444848823297297,0.33983082334602877,0.08754083486997924,0.44756822284148556,0.0454535832550803,0.24975693385167172,0.005371745684011164,0.12922087255192982,0.03293431704405626,0.6606747869924788,0.07644852291136264
face_self_intro_native,face,,self_intro,background,hist_gradient_boosting,20260707,fixed_0_5,0.5,3572,1084,2488,0.5862794550373156,0.35782512428376473,0.5700765890295558,0.541913799404793,0.5959409594095941,0.5442122186495176,0.5599104143337066,0.24449939728226025,0.1909378777501945,0.49832026875699886,0.5906518168808701,0.04659054163675343,0.36565499866182716,0.030545183433845415,0.5699907891988556,0.043755753656573436,0.541403249375216,0.04222090382250254,0.5958854737187482,0.06406806309048457,0.5440961046789627,0.06192171066795469,0.5599614991749824,0.046582103544611786,0.2444980666830546,0.002159342396629356,0.191620572888722,0.003160818037675528,0.49825567690736233,0.04834644206717405
face_self_intro_native,face,,self_intro,background,hist_gradient_boosting,20260707,inner_cv,0.5,3572,1084,2488,0.5862794550373156,0.35782512428376473,0.5700765890295558,0.541913799404793,0.5959409594095941,0.5442122186495176,0.5599104143337066,0.24449939728226025,0.1909378777501945,0.49832026875699886,0.5906518168808701,0.04659054163675343,0.36565499866182716,0.030545183433845415,0.5699907891988556,0.043755753656573436,0.541403249375216,0.04222090382250254,0.5958854737187482,0.06406806309048457,0.5440961046789627,0.06192171066795469,0.5599614991749824,0.046582103544611786,0.2444980666830546,0.002159342396629356,0.191620572888722,0.003160818037675528,0.49825567690736233,0.04834644206717405
