cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
eeg_1back_native,eeg,,1back,random_forest,20260707,signal,qc,1154,0.015082956259426794,-0.03121997844520271,0.05873474249820743,0.029320995471118383,-0.007694920114910119,0.0682740975947142,3,5,1000
eeg_1back_native,eeg,,1back,random_forest,20260707,signal_qc_demographics,signal,1154,0.014535473952894784,-0.011721528711715662,0.04113672987021153,0.0011802747225744814,-0.021339924524825096,0.02256207630898326,3,5,1000
eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,20260707,signal,demographics,1827,-0.07569490804548196,-0.11538468080753471,-0.03574729349743262,-0.06493757599094024,-0.1005044463408601,-0.02715784237837561,0,5,1000
eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,20260707,signal,qc,1827,0.04575248729434067,0.010268799948693282,0.08604888410549771,0.02666515137733494,4.143480287036734e-05,0.056452962672678374,5,5,1000
eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1827,0.06327256869670084,0.030848878263171536,0.0950681236870446,0.04764513810932958,0.017725187810072714,0.07822379097064436,5,5,1000
eeg_oddball_native,eeg,,oddball,logistic_regression,20260707,signal,demographics,1827,-0.057825555603411294,-0.090756991647612,-0.021543912424183447,-0.05502126553562309,-0.08954001044087376,-0.01773879996786817,0,5,1000
eeg_oddball_native,eeg,,oddball,logistic_regression,20260707,signal,qc,1827,0.04383587087604446,0.005137191126479141,0.08199072622734568,0.03289875527211017,0.0012452705071431122,0.06477449600923409,4,5,1000
eeg_oddball_native,eeg,,oddball,logistic_regression,20260707,signal_qc_demographics,signal,1827,0.03936197131535879,0.022473584962826025,0.05583730845323884,0.03792986472123616,0.022269836737492887,0.05374083828670889,5,5,1000
eeg_oddball_native,eeg,,oddball,random_forest,20260707,signal,demographics,1827,-0.08742812688431378,-0.1225207427955949,-0.05105702856150181,-0.08015610086134622,-0.11153108790803604,-0.04770067863892501,0,5,1000
eeg_oddball_native,eeg,,oddball,random_forest,20260707,signal,qc,1827,0.03371374041691799,-0.0022263342949446164,0.07218018654001657,0.014073471695858819,-0.011270260221886553,0.0398361612173176,4,5,1000
eeg_oddball_native,eeg,,oddball,random_forest,20260707,signal_qc_demographics,signal,1827,0.04132569558101473,0.019461779183010376,0.06505873930599608,0.02669979230508257,0.010197617129427272,0.044797809379360766,3,5,1000
eeg_rest_native,eeg,,rest,hist_gradient_boosting,20260707,signal,demographics,1022,-0.09682363780724434,-0.1530751506382172,-0.041403259074470934,-0.058295688447436766,-0.1101397768935718,-0.0062850672319843355,0,5,1000
