cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5098075646980756,823,199
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,2,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.35,0.5281189987956906,824,198
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,3,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.4,0.5143162896763469,834,188
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.55,0.4888896469384274,808,214
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.2,0.44849925236978205,799,223
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.48838752488387527,823,199
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.4,0.47760309865573025,824,198
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.5019014071049563,834,188
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.4930274603445335,808,214
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5473682044528582,799,223
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,1,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5494824153948241,823,199
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,2,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5580509715848061,824,198
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5627464344635612,834,188
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.4,0.5488589459321166,808,214
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.4,0.5243562835233274,799,223
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.4,0.5245255474452555,823,199
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,2,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5335937245711682,824,198
