cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,inner_cv,1,0.45,368,122,246,0.606607357057177,0.4173683188917757,0.5686058909769426,0.4572637095264833,0.8770491803278688,0.2601626016260163,0.46467391304347827,0.2429470046019699,0.1629445431232615,0.7853260869565217
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,fixed_0_5,2,0.5,369,128,241,0.5350589989626557,0.368046898513183,0.5452379408713692,0.503539998676636,0.6796875,0.4107883817427386,0.5040650406504065,0.24912653705828167,0.14745197383579073,0.6205962059620597
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,inner_cv,2,0.45,369,128,241,0.5350589989626557,0.368046898513183,0.5092550570539419,0.3914760348583878,0.8359375,0.1825726141078838,0.4092140921409214,0.24912653705828167,0.14745197383579073,0.8238482384823849
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,fixed_0_5,3,0.5,363,123,240,0.567039295392954,0.3823043885741412,0.5654979674796747,0.5456609112747118,0.5934959349593496,0.5375,0.5564738292011019,0.24532019018150217,0.15700731632069193,0.5068870523415978
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,inner_cv,3,0.5,363,123,240,0.567039295392954,0.3823043885741412,0.5654979674796747,0.5456609112747118,0.5934959349593496,0.5375,0.5564738292011019,0.24532019018150217,0.15700731632069193,0.5068870523415978
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,fixed_0_5,4,0.5,365,116,249,0.5928887965655726,0.3737903175824967,0.5699695333056364,0.5361495590396865,0.6379310344827587,0.5020080321285141,0.5452054794520548,0.2445985105691921,0.17867545928958747,0.5424657534246575
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,inner_cv,4,0.5,365,116,249,0.5928887965655726,0.3737903175824967,0.5699695333056364,0.5361495590396865,0.6379310344827587,0.5020080321285141,0.5452054794520548,0.2445985105691921,0.17867545928958747,0.5424657534246575
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,fixed_0_5,0,0.5,362,122,240,0.632889344262295,0.4281271148925272,0.6096653005464481,0.596820589248656,0.5901639344262295,0.6291666666666667,0.6160220994475138,0.2363718592562126,0.149205454415467,0.4447513812154696
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,inner_cv,0,0.45,362,122,240,0.632889344262295,0.4281271148925272,0.6085040983606558,0.5664670658682636,0.7295081967213115,0.4875,0.569060773480663,0.2363718592562126,0.149205454415467,0.585635359116022
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,fixed_0_5,1,0.5,368,122,246,0.5995601759296281,0.45804701642465395,0.5509796081567373,0.5366093366093366,0.5409836065573771,0.5609756097560976,0.5543478260869565,0.24133846508415688,0.1567381446498218,0.47282608695652173
