device,task,L_id,raw_rows,duration_sec,marker_count,marker_values,marker_indices_first_20,markers_after_2000,source_file
bikom,rest,L100,3497,349.6,2,ED ST,0 3493,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L100_R/L100_R_HBA_Oxy_20251106 125309_A02175_XYX_rest.csv
bikom,rest,L102,3594,359.3,1,ST,0,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L102_R/L102_R_HBA_Oxy_20251106 084955_A02177_YYY_rest.csv
bikom,rest,L103,3559,355.8,1,ST,0,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L103_R/L103_R_HBA_Oxy_20251106 103343_A02178_CXR_rest.csv
bikom,rest,L104,3999,399.8,1,ST,0,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L104_R/L104_R_HBA_Oxy_20251106 111218_A02179_TX_rest.csv
bikom,rest,L105,3497,349.6,2,ED ST,0 3493,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L105_R/L105_R_HBA_Oxy_20251106 101945_A02180_zyf_rest.csv
bikom,rest,L106,3499,349.8,2,ED ST,0 3493,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L106_R/L106_R_HBA_Oxy_20251106 111320_A02181_lhx_rest.csv
bikom,rest,L108,3497,349.6,2,ED ST,0 3493,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L108_R/L108_R_HBA_Oxy_20251106 103657_A02183_QCJ_rest.csv
bikom,rest,L10,3554,355.3,1,ST,0,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L10_R/L10_R_HBA_Oxy_20251105 131238_A02020_ZYX_rest.csv
bikom,rest,L112,3498,349.7,2,ED ST,0 3494,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L112_R/L112_R_HBA_Oxy_20251106 132615_A02188_wty_rest.csv
bikom,rest,L116,3495,349.4,2,ED ST,0 3494,1,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/1.Rest_1302/L116_R/L116_R_HBA_Oxy_20251106 131024_A02193_ycx_rest.csv
