cohort_name,modality,device,task,feature_set,model,seed,auroc_standard_cv,auprc_standard_cv,balanced_accuracy_standard_cv,macro_f1_standard_cv,auroc_group_cv,auprc_group_cv,balanced_accuracy_group_cv,macro_f1_group_cv,auroc_delta_standard_minus_group,auprc_delta_standard_minus_group,balanced_accuracy_delta_standard_minus_group,macro_f1_delta_standard_minus_group
eeg_oddball_native,eeg,,oddball,grade_group_only,logistic_regression,20260707,0.5046953064432768,0.33427726613651604,0.5051603281936429,0.3346179518350545,0.46701777715565507,0.3231278234834209,0.4595606049185976,0.42527577685472423,0.03767752928762169,0.011149442653095143,0.045599723275045245,-0.09065782501966974
eeg_oddball_native,eeg,,oddball,grade_group_only,random_forest,20260707,0.5068750538375398,0.33737669036044293,0.5068131406667241,0.33987979832239057,0.4566325157205617,0.31665175484667013,0.4645351935997933,0.43565722386176897,0.05024253811697815,0.020724935513772802,0.04227794706693083,-0.0957774255393784
eeg_oddball_native,eeg,,oddball,grade_only,hist_gradient_boosting,20260707,0.5558194342751314,0.3705738592110433,0.5338119939271255,0.5285016723604429,0.5339351472995091,0.36060550754798854,0.5162151940304935,0.4859709600610935,0.02188428697562228,0.009968351663054764,0.017596799896631987,0.04253071229934935
eeg_oddball_native,eeg,,oddball,grade_only,logistic_regression,20260707,0.5530898710052546,0.36882919663836683,0.5261603335773969,0.5046071241871577,0.5332601591437678,0.360883479443534,0.5207785985011629,0.49518249788668756,0.019829711861486854,0.007945717194832835,0.005381735076233962,0.00942462630047014
eeg_oddball_native,eeg,,oddball,grade_only,random_forest,20260707,0.5571270135239901,0.3717542423243602,0.5295749795417348,0.5173892549062313,0.5249254350073219,0.3559781543909352,0.5211897827116891,0.49567246738141835,0.03220157851666816,0.015776087933424998,0.008385196830045683,0.021716787524812986
eeg_oddball_native,eeg,,oddball,group_proxy_only,hist_gradient_boosting,20260707,0.605014159272978,0.3908476052506055,0.5982259184684297,0.5639082534025857,0.5423055388060988,0.3580024702746756,0.4948564960375571,0.30810859252364003,0.0627086204668792,0.032845134975929946,0.10336942243087255,0.2557996608789456
eeg_oddball_native,eeg,,oddball,group_proxy_only,logistic_regression,20260707,0.6019380168403826,0.3881258466246334,0.5878494056335601,0.5409028935009846,0.4454013319407356,0.30483407087636316,0.5093933047635455,0.372959959954999,0.156536684899647,0.08329177574827024,0.07845610087001464,0.16794293354598566
eeg_oddball_native,eeg,,oddball,group_proxy_only,random_forest,20260707,0.6039811514773021,0.387312139811418,0.589329265009906,0.5664505134560907,0.46549080993194936,0.31772058752255694,0.5074739964682574,0.2925594472417215,0.13849034154535278,0.06959155228886105,0.0818552685416486,0.27389106621436915
eeg_oddball_native,eeg,,oddball,no_information,no_information_prior,20260707,0.48821361659057627,0.32756398410518417,0.5,0.3996056523167926,0.4008702838315101,0.2862586418528676,0.5,0.3996056523167926,0.0873433327590662,0.04130534225231658,0.0,0.0
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,0.46865914915152035,0.31279761980525894,0.4934991170643466,0.44636844867517567,0.45295204690326474,0.31169173591034993,0.42903337389094665,0.4299396320809348,0.01570710224825561,0.00110588389490901,0.06446574317339998,0.01642881659424089
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,0.500728152726333,0.3362320377236232,0.49449174670514257,0.49194592511720514,0.45305366525971225,0.31016172399180075,0.5008795708071324,0.38583727022881154,0.04767448746662073,0.026070313731822448,-0.006387824101989847,0.1061086548883936
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,0.4748894984494788,0.3157995031581895,0.49141896911878713,0.44056459054901065,0.4456658088551986,0.3019163098383322,0.4801521179688173,0.45383477237107983,0.029223689594280233,0.013883193319857323,0.011266851149969836,-0.013270181822069183
eeg_oddball_native,eeg,,oddball,qc_demographics,hist_gradient_boosting,20260707,0.5850195699457317,0.3839645486675755,0.5767279158411578,0.5624334700492272,0.5567918748384875,0.3674530935428876,0.5606109753208717,0.5378745749590883,0.02822769510724421,0.016511455124687935,0.016116940520286116,0.024558895090138866
eeg_oddball_native,eeg,,oddball,qc_demographics,logistic_regression,20260707,0.5935931981652167,0.40779853056034243,0.5868742731932122,0.5645308170738795,0.5718421591006977,0.381179128194523,0.5782434425876475,0.5546980412066763,0.02175103906451903,0.026619402365819445,0.008630830605564688,0.009832775867203214
