L_id,A_id,status,reason,lead_in_sec,landmark_corr,lead_in_source,video_duration_sec,duration_mismatch,positive_start_sec,positive_end_sec,neutral_start_sec,neutral_end_sec,negative_start_sec,negative_end_sec
L1418,B13175,ok,,0.768375,0.12445180296392339,cohort_median,883.032422,,0.768375,96.05537500000027,106.05837499999724,193.81837499999926,203.82137499999988,329.9563749999983
L1420,B13182,ok,,0.768375,0.18335877999827987,cohort_median,578.899414,,0.768375,96.0623750000017,106.07637500000091,193.8353749999991,203.84937500000194,329.98237499999993
L1437,B13244,ok,,0.768375,0.18828017880968564,cohort_median,737.132618,,0.768375,96.06037499999765,106.06737499999907,193.8343749999989,203.8393749999999,329.98237499999993
L1438,B13245,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L144,A02221,ok,,0.768375,0.07910576081532396,cohort_median,786.832552,,0.768375,95.70337499999768,105.71637500000033,193.50137500000017,203.51637499999958,329.6703749999982
L1451,B14010,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1452,B14011,ok,,0.768375,0.13712434950900923,cohort_median,655.999349,,0.768375,96.10037499999989,106.11737499999971,193.89037499999984,203.90437499999996,330.04937499999994
L1457,B14016,ok,,0.744625,0.6389434416306413,landmark,689.765951,,0.744625,95.41662500000594,105.4176250000025,193.49862500000083,203.49962500000467,329.8996249999988
L146,A02223,ok,,0.768375,0.48694429521776306,cohort_median,688.199284,,0.768375,95.62837500000059,105.64037500000303,193.4303750000039,203.4393750000021,329.56937499999947
L1461,B14023,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L147,A02224,ok,,0.768375,0.502663239840313,cohort_median,718.465951,,0.768375,95.53937500000065,105.55437500000006,193.34137500000395,203.34937500000558,329.49937499999976
L1472,B14040,ok,,1.10175,0.6538808566860134,landmark,661.032683,,1.10175,96.15074999999906,106.1587500000007,193.91875000000275,203.9287499999975,330.0557499999979
L148,A02225,ok,,0.768375,0.48035005641117323,cohort_median,696.165951,,0.768375,95.55237499999966,105.56137500000513,193.351375000006,203.35937500000034,329.5203750000004
L1483,B14074,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1485,B14079,ok,,0.423375,0.6932004008729259,landmark,758.829333,,0.423375,95.10237500000372,105.10437500000413,193.18737500000285,203.18937500000325,329.5863750000005
L1487,B14084,ok,,0.425875,0.7497692196782446,landmark,752.565886,,0.425875,95.10087500000292,105.10387500000716,193.18487500000546,203.18587500000203,329.62287500000014
L1493,B14094,ok,,0.51575,0.7312415767865915,landmark,610.732748,,0.51575,95.82274999999979,105.8317499999998,193.60774999999964,203.61174999999955,329.72675000000027
L1501,B14116,ok,,0.787875,0.6909845978709341,landmark,681.099349,,0.787875,95.54987500000244,105.55287499999942,193.30887500000065,203.32387500000007,329.4408749999984
L1502,B14124,ok,,0.768375,0.08264868619157335,cohort_median,852.099154,,0.768375,95.82737500000111,105.84537500000114,193.60837500000014,203.62137499999915,329.760375000002
L1506,B14130,ok,,0.768375,0.2328660607596648,cohort_median,692.699284,,0.768375,96.10737499999995,106.11537500000021,193.893375,203.9033750000002,330.0533750000003
L1507,B14131,ok,,0.768375,0.12337379830956269,cohort_median,756.332552,,0.768375,96.07037499999969,106.0853749999991,193.85437499999932,203.85937500000034,330.0043750000008
L1524,B14164,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1526,B14166,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1528,B14172,ok,,0.088125,0.7962470826895688,landmark,780.499219,,0.088125,95.39812500000131,105.41012500000012,193.19112499999915,203.19612500000017,329.3421250000008
L1533,B14188,ok,,0.768375,0.5824501786675327,cohort_median,835.665821,,0.768375,95.4483750000003,105.45137500000455,193.53237500000284,203.53437500000325,329.9353750000013
L1536,B14191,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1539,B14200,ok,,0.981875,0.7531358461658818,landmark,640.999349,,0.981875,96.09287500000079,106.10287499999919,193.86087500000082,203.87187499999942,330.00187500000044
L1542,B14205,ok,,0.5715,0.6934864013169667,landmark,752.399219,,0.5715,95.26850000000012,105.27050000000052,193.35150000000246,203.35349999999923,329.7545000000009
L1547,B14225,ok,,0.768375,0.1724861168969106,cohort_median,711.365951,,0.768375,95.81137500000513,105.81837500000292,193.5793750000015,203.5903750000001,329.71837500000436
