L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L3428,oddball,ok,,649.0,149,149,136,0,116,20
L3435,oddball,ok,,645.0,145,145,125,0,106,19
L3478,oddball,ok,,649.0,150,150,123,0,102,21
L3481,oddball,ok,,635.0,149,149,105,0,86,19
L3505,oddball,ok,,666.0,147,147,137,0,116,21
L3509,oddball,ok,,638.0,149,149,148,0,124,24
L3518,oddball,ok,,645.0,147,147,141,0,116,25
L3519,oddball,ok,,638.0,149,149,131,0,106,25
L3522,oddball,ok,,641.0,147,147,146,0,122,24
L3534,oddball,ok,,641.0,148,148,148,0,123,25
L3568,oddball,ok,,635.0,150,150,148,0,123,25
L3572,oddball,ok,,670.0,146,146,146,0,123,23
L3573,oddball,ok,,636.0,150,150,149,0,124,25
L3578,oddball,ok,,641.0,147,147,135,0,110,25
L3581,oddball,ok,,666.0,146,146,146,0,121,25
L3588,oddball,ok,,637.0,149,149,136,0,112,24
L3603,oddball,ok,,633.0,150,150,150,0,125,25
L3613,oddball,ok,,633.0,150,150,147,0,123,24
L3618,oddball,ok,,634.0,149,149,145,0,122,23
L3627,oddball,ok,,655.0,146,146,143,0,122,21
L3630,oddball,ok,,634.0,150,150,135,0,112,23
L3638,oddball,ok,,631.0,150,150,92,0,74,18
L3643,oddball,ok,,676.0,150,150,150,0,125,25
L3644,oddball,ok,,639.0,150,150,132,0,108,24
L3646,oddball,ok,,634.0,150,150,147,0,123,24
L3647,oddball,ok,,636.0,150,150,148,0,123,25
L3657,oddball,ok,,653.0,150,150,149,0,124,25
L3667,oddball,ok,,702.0,150,150,150,0,125,25
L3681,oddball,ok,,641.0,148,148,148,0,124,24
L3694,oddball,ok,,639.0,149,149,144,0,120,24
L3696,oddball,ok,,637.0,149,149,142,0,118,24
L3708,oddball,ok,,643.0,143,143,136,0,113,23
L3717,oddball,ok,,639.0,148,148,119,0,98,21
L3722,oddball,ok,,635.0,149,149,137,0,113,24
L3723,oddball,ok,,639.0,148,148,148,0,124,24
L3727,oddball,ok,,637.0,150,150,138,0,114,24
L3736,oddball,ok,,658.0,150,150,135,0,113,22
L3739,oddball,ok,,638.0,148,148,145,0,120,25
L3742,oddball,ok,,640.0,150,150,135,0,111,24
L3749,oddball,ok,,638.0,137,137,137,0,115,22
L3946,oddball,ok,,710.0,147,147,70,0,58,12
L3953,oddball,ok,,717.0,147,147,124,0,105,19
L3963,oddball,ok,,652.0,150,150,140,0,116,24
L3964,oddball,ok,,643.0,149,149,106,0,86,20
L3981,oddball,ok,,636.0,150,150,113,0,92,21
L3987,oddball,ok,,636.0,150,150,136,0,112,24
L3993,oddball,ok,,646.0,146,146,139,0,115,24
L4009,oddball,ok,,641.0,149,149,124,0,102,22
L4013,oddball,ok,,644.0,147,147,140,0,117,23
L4039,oddball,ok,,646.0,149,149,121,0,98,23
L4058,oddball,ok,,785.0,177,177,172,0,145,27
L4061,oddball,ok,,638.0,150,150,142,0,117,25
L4070,oddball,ok,,643.0,147,147,145,0,120,25
L4071,oddball,ok,,720.0,115,115,88,0,70,18
L4074,oddball,ok,,641.0,150,150,142,0,118,24
L4078,oddball,ok,,639.0,149,149,149,0,124,25
L4080,oddball,ok,,639.0,147,147,143,0,119,24
L4096,oddball,ok,,639.0,149,149,147,0,122,25
L415,oddball,ok,,639.0,148,148,100,0,84,16
L418,oddball,ok,,640.0,147,147,147,0,122,25
L4204,oddball,ok,,670.0,149,149,92,0,75,17
L4214,oddball,ok,,679.0,149,149,139,0,115,24
L4218,oddball,ok,,641.0,147,147,117,0,95,22
L423,oddball,ok,,639.0,148,148,143,0,119,24
L4237,oddball,ok,,644.0,149,149,127,0,105,22
L4247,oddball,ok,,638.0,149,149,135,0,111,24
L4250,oddball,ok,,696.0,147,147,135,0,111,24
L4252,oddball,ok,,640.0,148,148,145,0,121,24
L4268,oddball,ok,,629.0,150,150,110,0,91,19
L4273,oddball,ok,,854.0,123,123,103,0,85,18
L4276,oddball,ok,,632.0,150,150,133,0,110,23
L4278,oddball,ok,,639.0,147,147,121,0,98,23
L4279,oddball,ok,,724.0,105,105,101,0,83,18
L4282,oddball,ok,,668.0,147,147,139,0,114,25
L4295,oddball,ok,,642.0,146,146,115,0,96,19
L4297,oddball,ok,,640.0,147,147,143,0,119,24
L4298,oddball,ok,,755.0,149,149,128,0,105,23
L43,oddball,ok,,671.0,148,148,142,0,117,25
L430,oddball,ok,,641.0,150,150,147,0,122,25
L4304,oddball,ok,,640.0,150,150,131,0,109,22
L4307,oddball,ok,,649.0,150,150,147,0,122,25
L4313,oddball,ok,,664.0,132,132,121,0,101,20
L4316,oddball,ok,,641.0,150,150,149,0,124,25
L4319,oddball,ok,,660.0,145,145,129,0,104,25
L4339,oddball,ok,,643.0,149,149,142,0,118,24
L4350,oddball,ok,,751.0,134,134,125,0,105,20
L4356,oddball,ok,,629.0,150,150,112,0,92,20
L4357,oddball,ok,,687.0,120,120,116,0,96,20
L4366,oddball,ok,,650.0,149,149,64,0,53,11
L4378,oddball,ok,,662.0,138,138,119,0,101,18
L4380,oddball,ok,,645.0,147,147,147,0,122,25
L4390,oddball,ok,,645.0,147,147,135,0,111,24
L4394,oddball,ok,,639.0,149,149,141,0,117,24
L4407,oddball,ok,,648.0,148,148,142,0,119,23
L4408,oddball,ok,,654.0,148,148,105,0,85,20
L4414,oddball,ok,,643.0,148,148,146,0,123,23
L4419,oddball,ok,,654.0,132,132,92,0,80,12
L443,oddball,ok,,637.0,149,149,123,0,102,21
L4438,oddball,ok,,663.0,147,147,123,0,101,22
L4439,oddball,ok,,642.0,149,149,108,0,90,18
L4440,oddball,ok,,646.0,148,148,141,0,122,19
L4441,oddball,ok,,672.0,120,120,118,0,99,19
L4442,oddball,ok,,644.0,147,147,139,0,115,24
L4446,oddball,ok,,671.0,147,147,135,0,112,23
L4448,oddball,ok,,668.0,120,120,104,0,84,20
L4449,oddball,ok,,638.0,150,150,147,0,123,24
L4454,oddball,ok,,651.0,140,140,136,0,113,23
L4462,oddball,ok,,637.0,148,148,128,0,109,19
L4464,oddball,ok,,643.0,145,145,145,0,120,25
L4465,oddball,ok,,645.0,145,145,145,0,121,24
L4466,oddball,ok,,642.0,150,150,147,0,122,25
L4491,oddball,ok,,645.0,143,143,80,0,66,14
L4494,oddball,ok,,640.0,149,149,130,0,107,23
L4498,oddball,ok,,643.0,149,149,147,0,122,25
L4515,oddball,ok,,652.0,148,148,143,0,118,25
