cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,fixed_0_5,4,0.5,50,17,33,0.6131907308377895,0.5501801236514692,0.5980392156862745,0.5924495924495925,0.5294117647058824,0.6666666666666666,0.62,0.2301617401637838,0.15016797668271026,0.4
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,inner_cv,4,0.55,50,17,33,0.6131907308377895,0.5501801236514692,0.5552584670231729,0.5558672276764843,0.35294117647058826,0.7575757575757576,0.62,0.2301617401637838,0.15016797668271026,0.28
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,fixed_0_5,0,0.5,56,24,32,0.4778645833333333,0.47167566129312133,0.46875,0.44198007071681134,0.625,0.3125,0.44642857142857145,0.24797700438824657,0.08813070349708077,0.6607142857142857
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,inner_cv,0,0.45,56,24,32,0.4778645833333333,0.47167566129312133,0.5,0.3,1.0,0.0,0.42857142857142855,0.24797700438824657,0.08813070349708077,1.0
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,fixed_0_5,1,0.5,37,6,31,0.5913978494623655,0.32704024370691037,0.49193548387096775,0.42612244897959184,0.5,0.4838709677419355,0.4864864864864865,0.24691568442979075,0.3402784773290281,0.5135135135135135
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,inner_cv,1,0.65,37,6,31,0.5913978494623655,0.32704024370691037,0.5672043010752689,0.5795454545454546,0.16666666666666666,0.967741935483871,0.8378378378378378,0.24691568442979075,0.3402784773290281,0.05405405405405406
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,fixed_0_5,2,0.5,54,16,38,0.569078947368421,0.3766740269433361,0.5707236842105263,0.5478704040771751,0.5625,0.5789473684210527,0.5740740740740741,0.2413247001160522,0.19231445077942522,0.46296296296296297
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,inner_cv,2,0.35,54,16,38,0.569078947368421,0.3766740269433361,0.5263157894736842,0.2852941176470588,1.0,0.05263157894736842,0.3333333333333333,0.2413247001160522,0.19231445077942522,0.9629629629629629
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,fixed_0_5,3,0.5,53,22,31,0.37390029325513197,0.36371358284199395,0.4560117302052786,0.4560117302052786,0.36363636363636365,0.5483870967741935,0.4716981132075472,0.2752421321909119,0.16841169067967282,0.41509433962264153
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,inner_cv,3,0.55,53,22,31,0.37390029325513197,0.36371358284199395,0.43914956011730205,0.4059775840597758,0.13636363636363635,0.7419354838709677,0.49056603773584906,0.2752421321909119,0.16841169067967282,0.20754716981132076
