cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,positive_prediction_rate,0.3126236263736264,0.35714285714285715,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,auroc,0.5614632940969618,0.6194868818831624,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,auprc,0.3762129050662782,0.4502128589198663,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,brier_score,0.22898775134149865,0.23940894900673532,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,ece,0.10143940311600054,0.14291468402579346,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,balanced_accuracy,0.5444713076763528,0.5962277016974739,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,macro_f1,0.5385954932283961,0.5882476226766511,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,sensitivity,0.47377175217521755,0.5559211899217995,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,specificity,0.5983367345552831,0.6544422420032671,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,accuracy,0.5648351648351648,0.6126373626373627,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,inner_cv,positive_prediction_rate,0.3988873626373627,0.4434065934065934,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,auroc,0.5516131104165564,0.6086996240698109,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,auprc,0.3779706550627961,0.44913504145055877,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,brier_score,0.2390675757352989,0.24811617006913797,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,ece,0.13245312109459972,0.17535991606123347,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,balanced_accuracy,0.5433793413303765,0.5935374039957743,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,macro_f1,0.5316591738189305,0.5778277140626031,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,sensitivity,0.5125315780860866,0.5899703613364343,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,specificity,0.5561029757235215,0.6114779541203652,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,accuracy,0.548901098901099,0.5956318681318681,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,fixed_0_5,positive_prediction_rate,0.4384478021978022,0.48516483516483516,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,auroc,0.5516131104165564,0.6086996240698109,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,auprc,0.3779706550627961,0.44913504145055877,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,brier_score,0.2390675757352989,0.24811617006913797,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,ece,0.13245312109459972,0.17535991606123347,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,balanced_accuracy,0.5359809723771463,0.5852671386032672,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,macro_f1,0.5272507711086374,0.5733256572302048,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,sensitivity,0.4821380221763796,0.5607943450915749,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,specificity,0.5691637895174709,0.6259370253687268,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,accuracy,0.548901098901099,0.5978021978021978,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,0,inner_cv,positive_prediction_rate,0.4170192307692308,0.46483516483516485,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,auroc,0.572285603241363,0.628480811441551,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,auprc,0.38171040014070823,0.45986520940860093,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,brier_score,0.2203289528826261,0.23254204401144454,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,ece,0.07431275947876279,0.1160158690004012,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,balanced_accuracy,0.5437283894017386,0.5920031394393975,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,macro_f1,0.5440647241247588,0.5942421630372761,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,sensitivity,0.3294878831076265,0.40611395007270606,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,specificity,0.7448887744835778,0.7925758643273925,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,accuracy,0.6104395604395605,0.6565934065934066,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,fixed_0_5,positive_prediction_rate,0.25438186813186814,0.29671703296703295,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,auroc,0.572285603241363,0.628480811441551,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,auprc,0.38171040014070823,0.45986520940860093,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,brier_score,0.2203289528826261,0.23254204401144454,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,ece,0.07431275947876279,0.1160158690004012,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,balanced_accuracy,0.5537063766139936,0.6004160803700878,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,1,inner_cv,macro_f1,0.5397803716847533,0.584526819234151,1000
