cv_protocol,cohort_name,modality,device,task,model,seed,comparison,feature_set_a,feature_set_b,auroc_diff,p_two_sided
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0001813747457798942,0.966
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004775674423352305,0.256
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.023331103984422508,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.09179765222736624,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.01968269942630435,0.342
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,6.152203958792457e-05,0.986
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.022876081219432742,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.02510534597240499,0.012
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.0458898555665436,0.018
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.0009760751066723583,0.954
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0021756960197805153,0.6
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.027381465374168135,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.007298190105420432,0.162
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.05509794854901662,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.04225548694020706,0.028
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.002236100502695959,0.444
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.005768193464786409,0.372
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.0019573021948016134,0.628
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.0478690636207072,0.012
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.04399201761173807,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0027314545142788083,0.476
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004618926195014084,0.244
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.018804216826664277,0.028
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.0668275946633482,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.04487795882414172,0.014
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.004580948774763227,0.206
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.023809208985914765,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.030320398448511143,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.027823226545085733,0.152
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.01757425188104228,0.322
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0032305895911532434,0.396
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.027351834093132854,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.0037044100147688996,0.558
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.05245562668731346,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.04493465899961044,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0019446795568440756,0.502
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.005863517440090005,0.308
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.0058844970337059155,0.19
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.03222893947984712,0.078
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.058328109932497596,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.001036213532753738,0.844
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004577118920495726,0.23
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.020234216263375182,0.016
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.042116522747334684,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.06892498430782856,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0034300437840051323,0.394
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.02330650918311883,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.029404315505814238,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.03348788127327684,0.028
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.010550733263910539,0.552
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.001571845482425338,0.712
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.027326137615810153,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.00321811405284117,0.626
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.04334508743041865,0.018
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.05488629091984962,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.002236204333399272,0.494
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.005827475362614076,0.342
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.005325515397649472,0.166
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.09439533732460756,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.0030057687062853833,0.856
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0005101301504099598,0.91
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004731723359659157,0.23
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.021911103614025984,0.014
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.04855306658301495,0.016
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.06511888318882228,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0015329261375074954,0.568
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.02365677626303131,0.012
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.027553996949882642,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.030155244612519005,0.106
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.01478959507468064,0.442
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0003575040091193249,0.906
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.027764913142816317,0.001
