cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__standard_only__mean_std__none,3,0.5832299146457119,0.003695317305230109,0.5796192927787562,0.5870044709388972
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__target_only__mean_std__none,3,0.583280043354559,0.0036668414913715868,0.5795176805310933,0.5868432461726053
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__condition_aware__mean_std__none,3,0.5818755362868626,0.004338884028863562,0.5771873729846904,0.5857498983877524
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__difference_wave__mean_std__none,3,0.5823361784762678,0.004035835027731084,0.5777062728627558,0.5851104186424603
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__standard_only__mean_std__none,3,0.5814419906968342,0.0030491670761188614,0.5779840130063677,0.5837447500338707
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__target_only__mean_std__none,3,0.5815318610847672,0.0029442441990392434,0.5781506570925349,0.5835293320688253
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__condition_aware__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__difference_wave__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__standard_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__target_only__mean_std__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__attention__none,3,0.5830090773607912,0.0043568683985330805,0.5780273675653705,0.5861075734995258
