L_id,task,status,error,windows,rejected_windows
L2648,1back,ok,,20,5
L2649,1back,ok,,21,1
L2650,1back,ok,,26,2
L2651,1back,ok,,13,7
L2652,1back,ok,,25,0
L2653,1back,ok,,12,11
L2654,1back,ok,,18,7
L2655,1back,ok,,24,1
L2656,1back,ok,,21,4
L2657,1back,ok,,14,12
L2658,1back,ok,,25,0
L2659,1back,ok,,15,9
L2660,1back,ok,,24,2
L2662,1back,ok,,8,18
L2663,1back,ok,,24,1
L2664,1back,ok,,14,11
L2665,1back,ok,,9,15
L2666,1back,ok,,6,19
L2667,1back,ok,,15,10
L2668,1back,ok,,20,5
L2669,1back,ok,,8,17
L2670,1back,ok,,20,5
L2671,1back,ok,,6,16
L2672,1back,ok,,24,1
L2673,1back,ok,,22,3
L2674,1back,ok,,19,7
L2675,1back,ok,,22,4
L2676,1back,ok,,24,1
L2678,1back,ok,,10,15
L2679,1back,ok,,25,0
L2681,1back,ok,,5,18
L2682,1back,ok,,6,19
L2683,1back,ok,,25,0
L2684,1back,ok,,13,11
L2685,1back,ok,,1,24
L2686,1back,ok,,9,12
L2687,1back,ok,,19,6
L2688,1back,ok,,23,2
L2689,1back,ok,,24,1
L2690,1back,ok,,8,17
L2691,1back,ok,,10,15
L2692,1back,ok,,16,10
L2693,1back,ok,,1,25
L2694,1back,ok,,3,23
L2695,1back,ok,,15,9
L2696,1back,ok,,16,9
L2705,1back,ok,,12,12
L2706,1back,ok,,12,10
L2707,1back,ok,,20,5
L2708,1back,ok,,10,13
L2709,1back,ok,,21,4
L2710,1back,ok,,20,7
L2711,1back,ok,,25,0
L2712,1back,ok,,2,22
L2714,1back,ok,,13,11
L2715,1back,ok,,10,9
L2716,1back,ok,,21,5
L2717,1back,ok,,23,3
L2718,1back,ok,,22,2
L2719,1back,ok,,19,5
L2720,1back,ok,,7,17
L2721,1back,ok,,16,9
L2722,1back,fail,no_valid_windows,0,26
L2723,1back,ok,,7,19
L2724,1back,ok,,1,24
L2725,1back,ok,,1,24
L2726,1back,ok,,24,0
L2727,1back,ok,,10,14
L2728,1back,ok,,15,9
L2729,1back,ok,,10,11
L273,1back,ok,,23,3
L2730,1back,ok,,16,9
L2731,1back,ok,,26,0
L2732,1back,ok,,14,9
L2733,1back,ok,,21,3
L2734,1back,ok,,9,16
L2735,1back,ok,,23,1
L2736,1back,ok,,24,1
L2737,1back,ok,,25,1
L2738,1back,ok,,24,0
L2739,1back,ok,,10,14
L274,1back,ok,,18,3
L2740,1back,ok,,11,14
L2741,1back,ok,,7,17
L2742,1back,ok,,15,9
L2743,1back,ok,,17,8
L2744,1back,ok,,12,12
L2745,1back,ok,,16,9
L2746,1back,ok,,25,1
L2747,1back,ok,,7,18
L2748,1back,ok,,7,17
L2749,1back,ok,,19,5
L275,1back,ok,,4,22
L2750,1back,ok,,24,1
L2751,1back,ok,,15,10
L2752,1back,ok,,15,6
L2753,1back,ok,,18,7
L2755,1back,ok,,9,13
L2756,1back,ok,,10,7
L2757,1back,ok,,11,14
L2758,1back,ok,,16,8
L2759,1back,ok,,13,10
L276,1back,ok,,16,8
L2760,1back,ok,,15,10
L2761,1back,ok,,21,5
L2762,1back,ok,,10,13
L2763,1back,ok,,26,0
L2764,1back,ok,,15,9
L2765,1back,ok,,25,0
L2766,1back,ok,,24,0
L2767,1back,ok,,15,9
L2768,1back,ok,,20,4
L277,1back,ok,,17,7
L2770,1back,ok,,24,1
L2771,1back,ok,,24,1
L2772,1back,ok,,23,1
L2773,1back,ok,,25,0
L2775,1back,ok,,12,14
L2776,1back,ok,,23,0
L2777,1back,ok,,10,13
L2778,1back,ok,,14,11
L2779,1back,ok,,8,17
L2780,1back,ok,,24,0
L2782,1back,ok,,22,1
L2783,1back,ok,,20,5
L2784,1back,ok,,11,13
L2785,1back,ok,,23,1
L2786,1back,ok,,16,8
L2787,1back,ok,,23,2
L2788,1back,ok,,9,16
L2789,1back,ok,,21,3
L279,1back,ok,,10,11
L2790,1back,ok,,16,9
L2791,1back,ok,,24,1
L2792,1back,ok,,22,1
L2793,1back,ok,,24,0
L2794,1back,ok,,21,3
L2795,1back,ok,,24,1
L2796,1back,ok,,16,5
L2797,1back,ok,,4,21
L2798,1back,ok,,1,23
L2799,1back,ok,,23,2
L28,1back,ok,,25,0
L280,1back,ok,,13,12
L2801,1back,ok,,7,19
L2802,1back,ok,,13,10
L2803,1back,ok,,22,4
L2804,1back,ok,,13,12
L2805,1back,ok,,3,20
L2806,1back,ok,,12,13
L2807,1back,ok,,14,12
L2808,1back,ok,,11,12
L2809,1back,ok,,22,2
L281,1back,ok,,16,7
L2810,1back,ok,,16,9
L2811,1back,ok,,24,2
L2812,1back,ok,,9,15
L2813,1back,ok,,7,13
L2814,1back,ok,,20,5
L2817,1back,ok,,20,5
L2818,1back,ok,,11,14
L2819,1back,ok,,16,9
L282,1back,ok,,5,19
L2820,1back,ok,,3,22
L2821,1back,ok,,12,12
L2822,1back,ok,,6,20
L2823,1back,ok,,25,1
L2824,1back,ok,,25,0
L2825,1back,ok,,22,4
L2827,1back,ok,,14,10
L283,1back,ok,,6,18
L2830,1back,ok,,19,6
L2832,1back,ok,,21,4
L2835,1back,ok,,23,2
L2836,1back,ok,,25,1
L2837,1back,ok,,19,0
L2838,1back,ok,,12,12
L2839,1back,ok,,18,6
L2840,1back,ok,,25,0
L2841,1back,ok,,16,9
L2842,1back,ok,,6,18
L2843,1back,ok,,15,6
L2844,1back,ok,,6,6
L2845,1back,ok,,23,1
L2846,1back,ok,,18,6
L2847,1back,ok,,14,11
L2848,1back,ok,,6,19
L2849,1back,ok,,18,7
L2850,1back,ok,,6,17
L2851,1back,ok,,24,2
L2852,1back,ok,,12,13
L2853,1back,ok,,17,4
L2854,1back,ok,,22,3
L2855,1back,ok,,24,1
L286,1back,ok,,17,7
L2862,1back,ok,,25,1
L2866,1back,ok,,22,2
L2867,1back,ok,,21,5
L2868,1back,ok,,11,13
L287,1back,ok,,4,18
L2870,1back,ok,,13,10
L2871,1back,ok,,19,4
L2872,1back,ok,,11,14
L2873,1back,ok,,8,12
L2874,1back,ok,,16,7
L2875,1back,ok,,24,0
L2876,1back,ok,,9,17
L2877,1back,ok,,25,0
L2878,1back,ok,,26,0
L2879,1back,ok,,12,12
L2880,1back,ok,,10,16
L2881,1back,ok,,12,12
L2882,1back,ok,,21,3
L2883,1back,ok,,18,7
L2884,1back,ok,,10,15
L2886,1back,ok,,14,11
L289,1back,ok,,23,2
L2890,1back,ok,,16,8
L2891,1back,ok,,21,3
L2893,1back,ok,,23,2
L2894,1back,ok,,22,3
L2895,1back,ok,,25,0
L2897,1back,ok,,17,8
L2898,1back,ok,,21,3
L2899,1back,ok,,7,18
L29,1back,ok,,18,2
L2900,1back,ok,,12,14
L2901,1back,ok,,17,8
L2902,1back,ok,,4,20
L2903,1back,ok,,19,7
L2904,1back,ok,,8,17
L2905,1back,ok,,13,12
L2906,1back,ok,,14,10
L2908,1back,ok,,17,8
L2909,1back,ok,,14,10
L2911,1back,ok,,16,9
L2913,1back,ok,,2,22
L2914,1back,ok,,9,15
L2915,1back,ok,,18,7
L2916,1back,ok,,18,6
L2917,1back,ok,,21,4
L2918,1back,ok,,14,10
L2919,1back,ok,,15,8
L292,1back,ok,,20,4
L2920,1back,ok,,11,14
L2921,1back,ok,,12,13
L2922,1back,ok,,12,13
L2923,1back,fail,no_valid_windows,0,0
L2924,1back,ok,,17,7
L2925,1back,ok,,25,0
L293,1back,ok,,18,7
L2930,1back,ok,,1,24
L2931,1back,ok,,20,5
L2932,1back,ok,,8,17
L2933,1back,ok,,16,8
L2934,1back,ok,,22,0
L2935,1back,ok,,12,13
L2936,1back,ok,,16,7
L2937,1back,ok,,14,11
L2939,1back,ok,,20,5
L294,1back,ok,,2,22
L2943,1back,ok,,9,15
L2945,1back,ok,,7,15
L2946,1back,ok,,18,7
L2948,1back,ok,,18,7
L2949,1back,ok,,4,20
L295,1back,ok,,5,18
L2950,1back,ok,,22,2
L2953,1back,ok,,6,18
L2954,1back,ok,,23,0
L2955,1back,ok,,2,22
L2956,1back,ok,,9,16
L2957,1back,ok,,8,16
L2958,1back,ok,,13,11
L296,1back,ok,,13,12
L2960,1back,ok,,9,15
L2961,1back,ok,,19,5
L2962,1back,ok,,24,0
L2965,1back,ok,,1,17
L2966,1back,ok,,15,11
L2969,1back,ok,,20,5
L297,1back,ok,,6,19
L2970,1back,ok,,18,8
L2971,1back,ok,,14,10
L2973,1back,ok,,15,10
L2974,1back,ok,,8,17
L2975,1back,ok,,11,14
L2976,1back,ok,,16,9
L2977,1back,ok,,25,0
L2978,1back,ok,,9,13
L2979,1back,ok,,22,1
L298,1back,ok,,16,6
L2980,1back,ok,,25,0
L2983,1back,ok,,13,7
L2984,1back,ok,,21,4
L2985,1back,ok,,20,5
L2986,1back,ok,,22,4
L2987,1back,ok,,25,0
L2988,1back,fail,no_valid_windows,0,22
L2989,1back,ok,,7,17
L299,1back,ok,,5,20
L2990,1back,ok,,20,5
L2991,1back,ok,,11,10
L2995,1back,ok,,18,6
L2996,1back,ok,,22,3
L2997,1back,ok,,15,10
L2998,1back,fail,no_valid_windows,0,26
L2999,1back,ok,,16,10
L30,1back,ok,,16,7
L300,1back,ok,,11,14
L3001,1back,ok,,23,3
L3002,1back,ok,,24,2
L3004,1back,ok,,11,13
L3006,1back,ok,,22,3
L3007,1back,ok,,3,20
L3010,1back,ok,,16,8
L3011,1back,ok,,14,10
L3019,1back,ok,,4,20
L302,1back,ok,,21,0
L3021,1back,ok,,8,12
L3022,1back,ok,,10,14
L3023,1back,ok,,6,19
L3024,1back,ok,,15,10
L3025,1back,fail,no_valid_windows,0,24
L3026,1back,ok,,22,3
L3027,1back,ok,,14,11
L3028,1back,ok,,16,9
L3029,1back,ok,,12,9
L304,1back,fail,no_valid_windows,0,26
L305,1back,ok,,25,0
L3051,1back,ok,,25,1
L3053,1back,ok,,21,1
L3055,1back,ok,,15,10
L3056,1back,ok,,25,1
L3057,1back,ok,,14,12
L3058,1back,ok,,24,1
L3059,1back,ok,,26,0
L3060,1back,ok,,8,18
L3062,1back,ok,,15,9
L3063,1back,ok,,23,2
L3064,1back,ok,,14,12
L3065,1back,ok,,24,1
L3067,1back,ok,,22,0
L3068,1back,ok,,24,2
L3069,1back,ok,,3,23
L307,1back,ok,,10,15
L3070,1back,ok,,19,7
L3071,1back,ok,,4,22
L3072,1back,ok,,9,16
L3074,1back,ok,,18,6
L3075,1back,ok,,13,10
L3076,1back,ok,,13,14
L3077,1back,ok,,18,7
L3078,1back,ok,,26,0
L3079,1back,ok,,22,3
L3080,1back,ok,,18,7
L3081,1back,ok,,5,19
L3082,1back,ok,,18,6
L3083,1back,ok,,22,3
L3084,1back,ok,,24,1
L3085,1back,ok,,25,1
L3086,1back,ok,,15,9
L3087,1back,ok,,25,0
L3088,1back,ok,,14,12
L3089,1back,ok,,24,1
L309,1back,ok,,1,15
L3090,1back,ok,,26,0
L3091,1back,fail,no_valid_windows,0,26
L3092,1back,ok,,14,12
