L_id,task,status,error,windows,rejected_windows
L1626,oddball,ok,,3,27
L1627,oddball,ok,,24,0
L1628,oddball,ok,,24,1
L1629,oddball,ok,,20,2
L163,oddball,ok,,22,2
L1630,oddball,ok,,20,5
L1631,oddball,ok,,25,0
L1632,oddball,ok,,22,3
L1633,oddball,ok,,22,2
L1634,oddball,ok,,23,2
L1635,oddball,ok,,23,2
L1636,oddball,ok,,24,1
L1637,oddball,ok,,25,0
L1638,oddball,ok,,25,0
L1639,oddball,ok,,23,0
L164,oddball,ok,,24,0
L1641,oddball,ok,,23,1
L1642,oddball,ok,,24,1
L1643,oddball,ok,,21,3
L1644,oddball,ok,,20,4
L1645,oddball,ok,,24,0
L1648,oddball,ok,,24,0
L1649,oddball,ok,,22,3
L1650,oddball,ok,,25,0
L1651,oddball,ok,,23,0
L1652,oddball,ok,,25,0
L1654,oddball,ok,,21,2
L1655,oddball,ok,,24,1
L1656,oddball,ok,,24,1
L1657,oddball,ok,,25,0
L1658,oddball,ok,,25,0
L1659,oddball,ok,,24,1
L1660,oddball,ok,,22,2
L1662,oddball,ok,,24,1
L1663,oddball,ok,,25,0
L1664,oddball,ok,,22,3
L1666,oddball,ok,,25,0
L1667,oddball,ok,,25,0
L1668,oddball,ok,,24,1
L167,oddball,ok,,25,0
L1671,oddball,ok,,25,0
L1672,oddball,ok,,25,0
L1673,oddball,ok,,25,0
L1674,oddball,ok,,22,2
L1675,oddball,ok,,23,1
L1676,oddball,ok,,25,0
L1677,oddball,ok,,25,0
L1678,oddball,ok,,24,1
L1679,oddball,ok,,19,3
L168,oddball,ok,,14,11
L1681,oddball,ok,,25,0
L1683,oddball,ok,,24,0
L1684,oddball,ok,,23,2
L1685,oddball,ok,,24,1
L1686,oddball,ok,,23,1
L1688,oddball,ok,,24,0
L1689,oddball,ok,,25,0
L169,oddball,ok,,19,5
L1694,oddball,ok,,23,0
L1695,oddball,ok,,25,0
L1697,oddball,ok,,23,0
L1698,oddball,ok,,22,1
L1699,oddball,ok,,13,11
L17,oddball,ok,,24,1
L170,oddball,ok,,22,1
L1701,oddball,ok,,23,0
L1702,oddball,ok,,23,1
L1703,oddball,ok,,24,0
L1704,oddball,ok,,24,0
L1706,oddball,ok,,25,0
L1707,oddball,ok,,24,1
L1708,oddball,ok,,24,1
L1709,oddball,ok,,24,1
L171,oddball,ok,,22,1
L1710,oddball,ok,,20,1
L1712,oddball,ok,,23,1
L1714,oddball,ok,,24,0
L1715,oddball,ok,,24,1
L1716,oddball,ok,,25,0
L1718,oddball,ok,,23,0
L1719,oddball,ok,,24,0
L172,oddball,ok,,25,0
L1720,oddball,ok,,23,1
L1722,oddball,ok,,20,0
L1723,oddball,ok,,24,0
L1725,oddball,ok,,25,0
L1726,oddball,ok,,24,0
L1727,oddball,ok,,24,0
L1728,oddball,ok,,20,0
L1729,oddball,ok,,24,0
L173,oddball,ok,,24,1
L1731,oddball,ok,,23,0
L1732,oddball,ok,,25,0
L1733,oddball,ok,,25,0
L1734,oddball,ok,,25,0
L1736,oddball,ok,,24,1
L1737,oddball,ok,,21,4
L1738,oddball,ok,,25,0
L174,oddball,ok,,25,0
L1740,oddball,ok,,23,1
L1741,oddball,ok,,23,1
L1742,oddball,ok,,25,0
L1743,oddball,ok,,25,0
L1744,oddball,ok,,25,0
L1745,oddball,ok,,24,0
L1746,oddball,ok,,22,1
L1747,oddball,ok,,24,0
L1748,oddball,ok,,24,0
L1749,oddball,ok,,25,0
L175,oddball,ok,,23,0
L1750,oddball,ok,,24,0
L1751,oddball,ok,,25,0
L1753,oddball,ok,,24,0
L1755,oddball,ok,,22,2
L1756,oddball,ok,,25,0
L1757,oddball,ok,,22,3
L1758,oddball,ok,,24,0
L1759,oddball,ok,,24,0
L176,oddball,ok,,25,0
L1760,oddball,ok,,25,0
L1761,oddball,ok,,21,2
L1762,oddball,ok,,24,1
L1763,oddball,ok,,25,0
L1764,oddball,ok,,23,0
L1765,oddball,ok,,25,0
L1766,oddball,ok,,22,3
L1767,oddball,ok,,23,1
L1768,oddball,ok,,25,0
L1769,oddball,ok,,22,3
L177,oddball,ok,,22,0
L1770,oddball,ok,,22,2
L1771,oddball,ok,,25,0
L1773,oddball,ok,,24,1
L1774,oddball,ok,,24,1
L1775,oddball,ok,,24,0
L1776,oddball,ok,,22,3
L1777,oddball,ok,,24,0
L1778,oddball,ok,,23,2
L178,oddball,ok,,24,1
L1782,oddball,ok,,25,0
L1783,oddball,ok,,25,0
L1784,oddball,ok,,25,0
L1788,oddball,ok,,24,0
L1789,oddball,ok,,23,1
L179,oddball,ok,,22,3
L1790,oddball,ok,,21,4
L1791,oddball,ok,,22,2
L1795,oddball,ok,,20,3
L1798,oddball,ok,,25,0
L1799,oddball,ok,,25,0
L18,oddball,ok,,24,1
L180,oddball,ok,,3,22
L1800,oddball,ok,,24,1
L1802,oddball,ok,,25,0
L1803,oddball,fail,IndexError('list index out of range'),0,0
L1804,oddball,ok,,25,0
L1805,oddball,ok,,25,0
L1806,oddball,ok,,24,1
L1807,oddball,ok,,25,0
L1808,oddball,ok,,24,1
L1809,oddball,ok,,24,0
L181,oddball,ok,,24,0
L1810,oddball,ok,,24,0
L1811,oddball,ok,,23,2
L1812,oddball,ok,,25,0
L1813,oddball,ok,,23,2
L1814,oddball,ok,,25,0
L1816,oddball,ok,,22,1
L1817,oddball,ok,,23,0
L1818,oddball,ok,,23,1
L1819,oddball,fail,no_valid_windows,0,22
L182,oddball,ok,,23,0
L1820,oddball,ok,,17,8
L1821,oddball,ok,,24,0
L1822,oddball,ok,,25,0
L1823,oddball,ok,,14,11
L1824,oddball,ok,,20,0
L1825,oddball,ok,,8,17
L1826,oddball,ok,,23,2
L1827,oddball,ok,,6,18
L1829,oddball,ok,,20,3
L183,oddball,ok,,24,0
L1830,oddball,ok,,19,3
L1831,oddball,ok,,23,0
L1832,oddball,ok,,22,1
L1833,oddball,ok,,25,0
L1834,oddball,ok,,25,0
L1835,oddball,ok,,25,0
L1836,oddball,ok,,23,0
L1837,oddball,ok,,22,2
L1838,oddball,ok,,22,2
L1839,oddball,ok,,22,3
L184,oddball,ok,,24,1
L1840,oddball,ok,,25,0
L1841,oddball,fail,IndexError('list index out of range'),0,0
L1842,oddball,ok,,13,12
L1846,oddball,ok,,21,2
L1847,oddball,ok,,24,0
L1848,oddball,ok,,22,3
L1849,oddball,ok,,23,2
L1850,oddball,ok,,25,0
L1851,oddball,ok,,24,0
L1852,oddball,ok,,23,0
L1853,oddball,ok,,25,0
L1854,oddball,ok,,17,7
L1855,oddball,ok,,25,0
L1856,oddball,ok,,22,3
L1857,oddball,ok,,25,0
L1858,oddball,ok,,20,3
L1859,oddball,ok,,24,0
L186,oddball,ok,,20,0
L1860,oddball,ok,,23,0
L1862,oddball,ok,,24,1
L1863,oddball,ok,,20,0
L1864,oddball,ok,,24,1
L1865,oddball,ok,,25,0
L1866,oddball,ok,,23,2
L1867,oddball,ok,,1,20
L1868,oddball,ok,,25,0
L187,oddball,ok,,18,6
L1871,oddball,ok,,23,0
L1872,oddball,ok,,25,0
L1874,oddball,ok,,25,0
L1875,oddball,ok,,23,2
L1876,oddball,ok,,22,1
L1877,oddball,ok,,22,0
L1878,oddball,ok,,23,1
L1879,oddball,ok,,24,0
L1880,oddball,ok,,25,0
L1881,oddball,ok,,25,0
L1882,oddball,ok,,25,0
L1883,oddball,ok,,12,13
L1884,oddball,ok,,20,0
L189,oddball,ok,,20,0
L1891,oddball,ok,,23,1
L1892,oddball,ok,,20,4
L1893,oddball,ok,,23,0
L1894,oddball,ok,,24,0
L1895,oddball,ok,,23,0
L1896,oddball,ok,,20,3
L1897,oddball,ok,,24,0
L1898,oddball,ok,,22,1
L1899,oddball,ok,,21,2
L19,oddball,ok,,25,0
L190,oddball,ok,,22,1
L1901,oddball,ok,,25,0
L1902,oddball,fail,no_valid_windows,0,25
L1903,oddball,ok,,23,0
L1904,oddball,fail,no_valid_windows,0,10
L1905,oddball,ok,,24,1
L1906,oddball,ok,,22,1
L1907,oddball,ok,,24,0
L1908,oddball,ok,,23,0
L1909,oddball,ok,,15,7
L191,oddball,ok,,24,0
L1910,oddball,ok,,18,6
L1911,oddball,ok,,21,4
L192,oddball,ok,,23,1
L194,oddball,ok,,24,1
L195,oddball,ok,,22,3
L196,oddball,ok,,23,1
L198,oddball,ok,,9,12
L199,oddball,ok,,25,0
L200,oddball,ok,,25,0
L201,oddball,ok,,23,0
L202,oddball,ok,,23,1
L203,oddball,ok,,19,5
L205,oddball,ok,,24,1
L2058,oddball,ok,,24,0
L206,oddball,ok,,25,0
L207,oddball,ok,,25,0
L208,oddball,ok,,16,4
L209,oddball,ok,,25,0
L21,oddball,ok,,23,1
L210,oddball,ok,,24,0
L211,oddball,ok,,24,1
L212,oddball,ok,,25,0
L213,oddball,ok,,7,18
L214,oddball,ok,,25,0
L216,oddball,ok,,23,2
L217,oddball,ok,,24,0
L218,oddball,ok,,22,3
L219,oddball,ok,,25,0
L22,oddball,ok,,25,0
L220,oddball,ok,,25,0
L221,oddball,ok,,25,0
L222,oddball,ok,,24,0
L223,oddball,ok,,23,2
L225,oddball,ok,,22,3
L226,oddball,ok,,24,0
L227,oddball,ok,,24,0
L228,oddball,ok,,25,0
L24,oddball,ok,,25,0
L242,oddball,ok,,24,0
L243,oddball,ok,,20,5
L244,oddball,ok,,18,6
L246,oddball,ok,,25,0
L247,oddball,ok,,23,1
L248,oddball,ok,,25,0
L249,oddball,ok,,17,7
L2499,oddball,ok,,22,3
L250,oddball,ok,,23,1
L2506,oddball,ok,,24,0
L251,oddball,ok,,21,3
L2510,oddball,ok,,23,1
L2511,oddball,ok,,24,0
L2514,oddball,ok,,25,0
L2517,oddball,ok,,23,0
L2518,oddball,ok,,18,6
L252,oddball,ok,,23,1
L2520,oddball,ok,,25,0
L2521,oddball,ok,,19,6
L2524,oddball,ok,,25,0
L2525,oddball,ok,,24,1
L2527,oddball,ok,,25,0
L2528,oddball,ok,,24,1
L253,oddball,ok,,23,2
L2531,oddball,ok,,22,2
L2532,oddball,ok,,24,0
L2533,oddball,ok,,23,2
L2534,oddball,ok,,25,0
L2535,oddball,ok,,22,1
L2538,oddball,ok,,25,0
L2539,oddball,ok,,25,0
L2540,oddball,ok,,24,0
L2541,oddball,ok,,25,0
L2542,oddball,ok,,25,0
L2543,oddball,ok,,24,0
L2547,oddball,ok,,24,1
L2548,oddball,ok,,24,0
L2549,oddball,ok,,24,0
L255,oddball,ok,,22,1
L2550,oddball,ok,,21,2
L2551,oddball,ok,,25,0
L2552,oddball,ok,,25,0
L2553,oddball,ok,,23,0
L2554,oddball,ok,,22,1
L2555,oddball,ok,,24,0
L2556,oddball,ok,,23,2
L2557,oddball,ok,,25,0
L2558,oddball,ok,,24,0
L2559,oddball,ok,,25,0
L256,oddball,ok,,23,0
L2560,oddball,ok,,24,0
L2561,oddball,ok,,25,0
L2562,oddball,ok,,25,0
L2563,oddball,ok,,23,0
L2564,oddball,ok,,24,0
L2565,oddball,ok,,24,1
L2566,oddball,ok,,22,3
L2567,oddball,ok,,23,1
L2568,oddball,ok,,24,1
L2569,oddball,ok,,23,0
L257,oddball,ok,,15,10
L2570,oddball,ok,,24,0
L2571,oddball,ok,,25,0
L2572,oddball,fail,IndexError('list index out of range'),0,0
L2573,oddball,ok,,24,1
L2574,oddball,ok,,23,1
L2575,oddball,ok,,24,0
L2576,oddball,ok,,25,0
L2577,oddball,ok,,18,6
L2578,oddball,ok,,21,3
L2579,oddball,ok,,24,1
L258,oddball,ok,,23,0
L2580,oddball,ok,,24,1
L2581,oddball,ok,,23,2
L2582,oddball,ok,,24,0
L2583,oddball,ok,,22,1
L2584,oddball,ok,,25,0
L2585,oddball,ok,,24,1
L2586,oddball,ok,,25,0
L2587,oddball,ok,,25,0
L2588,oddball,ok,,24,0
L2589,oddball,ok,,25,0
L259,oddball,ok,,25,0
L2590,oddball,ok,,24,0
L2591,oddball,ok,,21,0
L2592,oddball,ok,,24,1
L2593,oddball,ok,,24,1
L2594,oddball,ok,,25,0
L2595,oddball,ok,,23,2
L2596,oddball,ok,,25,0
L2597,oddball,ok,,22,1
L2598,oddball,ok,,24,0
L2599,oddball,ok,,20,2
L26,oddball,ok,,23,2
L260,oddball,ok,,13,12
L2600,oddball,ok,,19,0
L2601,oddball,ok,,24,0
L2602,oddball,ok,,25,0
L2603,oddball,ok,,23,2
L2604,oddball,ok,,19,5
L2605,oddball,ok,,25,0
L2606,oddball,ok,,25,0
L2607,oddball,ok,,25,0
L2608,oddball,ok,,20,5
L261,oddball,ok,,25,0
L2610,oddball,ok,,24,0
L2613,oddball,ok,,25,0
L2614,oddball,ok,,21,4
L2616,oddball,ok,,23,1
L2618,oddball,ok,,24,0
L2619,oddball,ok,,21,0
L262,oddball,ok,,18,4
L2622,oddball,ok,,25,0
L2623,oddball,ok,,23,0
L2624,oddball,ok,,23,0
L2627,oddball,ok,,23,2
L2628,oddball,ok,,24,0
L2629,oddball,ok,,20,4
L263,oddball,ok,,23,0
L2630,oddball,ok,,24,0
L2631,oddball,ok,,24,0
L2633,oddball,ok,,24,0
L2634,oddball,ok,,23,0
L2635,oddball,ok,,25,0
L2636,oddball,ok,,25,0
L2637,oddball,ok,,24,0
L264,oddball,ok,,25,0
L2640,oddball,ok,,23,1
L2644,oddball,ok,,25,0
L2645,oddball,ok,,19,6
L2646,oddball,ok,,25,0
L2647,oddball,ok,,15,10
L2648,oddball,ok,,21,0
L2649,oddball,ok,,24,0
L2650,oddball,ok,,25,0
L2651,oddball,ok,,22,2
L2652,oddball,ok,,24,0
L2653,oddball,ok,,24,0
L2654,oddball,ok,,23,0
L2655,oddball,ok,,25,0
L2656,oddball,ok,,23,1
L2657,oddball,ok,,24,0
L2658,oddball,ok,,25,0
L2659,oddball,ok,,22,3
L2660,oddball,ok,,24,1
L2662,oddball,ok,,21,3
L2663,oddball,ok,,25,0
L2664,oddball,ok,,24,0
L2665,oddball,ok,,24,0
L2666,oddball,ok,,21,0
L2667,oddball,ok,,23,2
L2668,oddball,ok,,24,1
L2669,oddball,ok,,23,2
L2670,oddball,ok,,24,0
L2671,oddball,ok,,24,0
L2672,oddball,ok,,22,2
L2673,oddball,ok,,25,0
L2674,oddball,ok,,25,0
L2675,oddball,ok,,25,0
L2676,oddball,ok,,24,1
L2677,oddball,ok,,25,0
L2678,oddball,ok,,24,1
L2679,oddball,ok,,25,0
L2681,oddball,ok,,25,0
L2682,oddball,ok,,16,8
L2683,oddball,ok,,25,0
L2684,oddball,ok,,23,2
L2685,oddball,ok,,19,4
L2686,oddball,ok,,25,0
L2687,oddball,ok,,18,6
L2688,oddball,ok,,15,10
L2689,oddball,ok,,24,1
L2690,oddball,ok,,24,0
L2691,oddball,ok,,24,0
L2692,oddball,ok,,25,0
L2693,oddball,ok,,23,1
L2694,oddball,ok,,23,0
L2695,oddball,ok,,23,0
L2696,oddball,ok,,24,0
L2705,oddball,ok,,23,0
L2706,oddball,ok,,20,5
L2707,oddball,ok,,22,2
L2708,oddball,ok,,24,0
L2709,oddball,ok,,18,7
L2710,oddball,ok,,15,9
L2711,oddball,ok,,24,0
L2712,oddball,ok,,21,3
L2714,oddball,ok,,20,5
L2715,oddball,ok,,23,2
L2716,oddball,ok,,25,0
L2717,oddball,ok,,24,0
L2718,oddball,ok,,24,0
L2719,oddball,ok,,24,0
L2720,oddball,ok,,23,1
L2721,oddball,ok,,25,0
L2722,oddball,ok,,25,0
L2723,oddball,ok,,23,0
L2724,oddball,ok,,20,4
L2725,oddball,ok,,20,0
L2726,oddball,ok,,24,1
L2727,oddball,ok,,24,1
L2728,oddball,ok,,25,0
L2729,oddball,ok,,23,0
L273,oddball,ok,,25,0
L2730,oddball,ok,,22,2
L2731,oddball,ok,,24,1
L2732,oddball,ok,,23,1
L2733,oddball,ok,,22,2
L2734,oddball,ok,,23,1
L2735,oddball,ok,,24,0
L2736,oddball,ok,,22,2
L2737,oddball,ok,,20,0
L2738,oddball,ok,,24,0
L2739,oddball,ok,,24,0
L274,oddball,ok,,24,1
L2740,oddball,ok,,23,0
L2741,oddball,ok,,21,3
L2742,oddball,ok,,21,2
L2743,oddball,ok,,25,0
L2744,oddball,ok,,19,5
L2745,oddball,ok,,21,0
L2746,oddball,ok,,21,4
L2747,oddball,ok,,24,1
L2748,oddball,ok,,25,0
L2749,oddball,ok,,22,2
L275,oddball,ok,,22,3
L2750,oddball,ok,,21,0
L2751,oddball,ok,,25,0
L2752,oddball,ok,,23,0
L2753,oddball,ok,,24,0
L2754,oddball,ok,,25,0
L2755,oddball,ok,,24,0
L2756,oddball,ok,,24,0
L2757,oddball,ok,,25,0
L2758,oddball,ok,,22,2
L2759,oddball,ok,,23,0
L276,oddball,ok,,25,0
L2760,oddball,ok,,23,2
L2761,oddball,ok,,24,1
L2762,oddball,ok,,23,1
L2763,oddball,ok,,24,0
L2764,oddball,ok,,25,0
L2766,oddball,ok,,24,0
L2767,oddball,ok,,23,2
L2768,oddball,ok,,23,1
L277,oddball,ok,,24,1
L2770,oddball,ok,,23,0
L2771,oddball,ok,,25,0
L2772,oddball,ok,,22,2
L2773,oddball,ok,,23,0
L2775,oddball,ok,,25,0
L2776,oddball,ok,,19,6
L2777,oddball,ok,,24,0
L2778,oddball,ok,,24,0
L2779,oddball,ok,,25,0
L2780,oddball,ok,,24,0
L2782,oddball,ok,,25,0
L2783,oddball,ok,,22,1
L2784,oddball,ok,,24,0
L2785,oddball,ok,,25,0
L2786,oddball,ok,,23,2
L2787,oddball,ok,,25,0
L2788,oddball,ok,,24,1
L2789,oddball,ok,,25,0
L279,oddball,ok,,25,0
L2790,oddball,ok,,22,3
L2791,oddball,ok,,24,0
L2792,oddball,ok,,25,0
L2793,oddball,ok,,25,0
L2794,oddball,ok,,25,0
L2795,oddball,ok,,24,0
L2796,oddball,ok,,24,0
L2797,oddball,ok,,24,1
L2798,oddball,ok,,24,0
L2799,oddball,ok,,24,0
L28,oddball,ok,,24,0
L280,oddball,ok,,22,3
L2801,oddball,ok,,23,1
L2802,oddball,ok,,25,0
L2803,oddball,ok,,24,0
L2804,oddball,ok,,24,1
L2805,oddball,ok,,24,0
L2806,oddball,ok,,25,0
L2807,oddball,ok,,25,0
L2808,oddball,ok,,24,0
L2809,oddball,ok,,23,0
L281,oddball,ok,,23,2
L2810,oddball,ok,,25,0
L2811,oddball,ok,,25,0
L2812,oddball,ok,,23,0
L2813,oddball,ok,,23,0
L2814,oddball,ok,,25,0
L2817,oddball,ok,,23,2
L2818,oddball,ok,,24,1
L2819,oddball,ok,,25,0
L282,oddball,ok,,15,5
