cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative
standard_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_demographics_vs_demographics,-0.02458541011094,-0.0609773161490151,0.0143680647496815,0,0
standard_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0265392080299514,-0.0640219947447134,0.0115307046970344,0,0
standard_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0327307807152535,-0.0704145081577576,0.006927195798499,0,0
standard_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_vs_demographics,-0.089096630452259,-0.1312569542924709,-0.0428224951292943,0,1
standard_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_demographics_vs_demographics,-0.0404770654845304,-0.0715001643183692,-0.0089743794810597,0,1
standard_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0327164251096767,-0.0619904497323102,0.0005139797799307,0,0
standard_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_qc_demographics_vs_demographics,-0.0446287066173599,-0.0748601272955197,-0.0124269631195204,0,1
standard_cv,eeg_1back_native,eeg,,1back,random_forest,signal_vs_demographics,-0.0373676413165813,-0.0860248240871468,0.0099523776126769,0,0
standard_cv,eeg_1back_native,eeg,,1back,random_forest,signal_demographics_vs_demographics,-0.0218032937501435,-0.0629817345714269,0.019289113147173,0,0
standard_cv,eeg_1back_native,eeg,,1back,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0144733215425958,-0.0576519654925134,0.0305059428258336,0,0
standard_cv,eeg_1back_native,eeg,,1back,random_forest,signal_qc_demographics_vs_demographics,-0.0179416358499666,-0.0616058467701375,0.0212130384245388,0,0
standard_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_vs_demographics,-0.0585496545183579,-0.0982982645326862,-0.0216999293820593,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0381770762769271,-0.0678368995583786,-0.008302689763825,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.008481913019916,-0.0383752866795472,0.022112525045424,0,0
standard_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0298706137379758,-0.0591221840705867,-0.0001464757674151,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_vs_demographics,-0.076629860452513,-0.1130683489811093,-0.0391570879396148,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_demographics_vs_demographics,-0.0326683376236281,-0.059421842052823,-0.0057506785381725,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0278884974935645,-0.0564861818978277,-0.002087039891838,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_qc_demographics_vs_demographics,-0.034132908819943,-0.0630614357764847,-0.0074409660703251,0,1
standard_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_vs_demographics,-0.057446822923723,-0.0979080971612482,-0.0226743853408439,0,1
