dataset,feature_family,model,evaluation_stage,fold,n_subjects,n_train_subjects,feature_count,threshold,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,ppv,npv,brier_score,ece,mce,tn,fp,fn,tp
demographics,demographics,demographics_lightgbm,cv_fold,3,719,2878,4,0.5,0.670128477711752,0.43748768247008407,0.6106780061422159,0.5800504318123227,0.6470588235294118,0.5742971887550201,0.4028169014084507,0.7857142857142857,0.22908006045812732,0.16931832432918675,0.24666311720868317,286,212,78,143
demographics,demographics,demographics_lightgbm,cv_fold,4,719,2878,4,0.5,0.6730117746159059,0.42261340028799343,0.6348220989214233,0.5758461264079242,0.7706422018348624,0.499001996007984,0.4009546539379475,0.8333333333333334,0.22871744087978013,0.17912450060049023,0.2188993506768006,250,251,50,168
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,0,216,783,533,0.5,0.5245033112582782,0.34459335489788434,0.509016811003566,0.5026315789473684,0.4153846153846154,0.6026490066225165,0.3103448275862069,0.7054263565891473,0.32062061031818495,0.2661198965229208,0.6530794804338043,91,60,38,27
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,1,196,803,533,0.5,0.4092561983471074,0.33263612004696796,0.4384573002754821,0.4384573002754821,0.30666666666666664,0.5702479338842975,0.30666666666666664,0.5702479338842975,0.3810449954838423,0.34096605673146196,0.7824793254358393,69,52,52,23
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,2,195,804,533,0.5,0.46911242603550296,0.31044719725003245,0.4884615384615385,0.48849067169677857,0.3230769230769231,0.6538461538461539,0.3181818181818182,0.6589147286821705,0.32771755764871024,0.2622985712366432,0.8680135621216487,85,45,44,21
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,3,184,815,533,0.5,0.5146747752511899,0.36644432940232496,0.5329190904283447,0.5253457653457654,0.4838709677419355,0.5819672131147541,0.37037037037037035,0.6893203883495146,0.3207882159078215,0.27479187109489384,0.6592963023484202,71,51,32,30
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,4,208,791,533,0.5,0.4727549467275495,0.3222257377619915,0.4741755454084221,0.4665146765460245,0.4520547945205479,0.4962962962962963,0.32673267326732675,0.6261682242990654,0.35643493167938267,0.30970082590912773,0.7556798815499084,67,68,40,33
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,0,216,783,533,0.5,0.551808456444218,0.37152963214899726,0.5261844116148752,0.503448275862069,0.13846153846153847,0.9139072847682119,0.4090909090909091,0.711340206185567,0.21871075419539185,0.10587785051392067,0.2042407792653203,138,13,56,9
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,1,196,803,533,0.5,0.5741046831955923,0.47637980685074055,0.5034710743801653,0.4140047206923682,0.04,0.9669421487603306,0.42857142857142855,0.6190476190476191,0.23252267827643788,0.044513297615578346,0.3932894544100145,117,4,72,3
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,2,195,804,533,0.5,0.4881656804733728,0.34185668370356104,0.5038461538461538,0.46595949855351976,0.1076923076923077,0.9,0.35,0.6685714285714286,0.23354540411773916,0.09145726451609115,0.22480928108269516,117,13,58,7
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,3,184,815,533,0.5,0.5019830777366472,0.33213213885735327,0.47924378635642517,0.41044810773159973,0.03225806451612903,0.9262295081967213,0.18181818181818182,0.653179190751445,0.2307378586414292,0.06191311527741773,0.3457607637510633,113,9,60,2
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,4,208,791,533,0.5,0.5427701674277017,0.3799264744836635,0.4798072044647387,0.4113824546693219,0.0410958904109589,0.9185185185185185,0.21428571428571427,0.6391752577319587,0.23590350090270296,0.0990744217881508,0.8015148574918044,124,11,70,3
eeg_rest,tabular_numeric,eeg_rest_lightgbm,cv_fold,0,216,783,533,0.5,0.5520122261844117,0.36368705537970375,0.5062149770759042,0.49644406409537584,0.18461538461538463,0.8278145695364238,0.3157894736842105,0.702247191011236,0.24327491123739384,0.16972627559264816,0.551736163082867,125,26,53,12
eeg_rest,tabular_numeric,eeg_rest_lightgbm,cv_fold,1,196,803,533,0.5,0.5237465564738292,0.3952967610350602,0.4814876033057851,0.4403198172472873,0.12,0.8429752066115702,0.32142857142857145,0.6071428571428571,0.29688895720993763,0.23446922705872014,0.9122920802063235,102,19,66,9
eeg_rest,tabular_numeric,eeg_rest_lightgbm,cv_fold,2,195,804,533,0.5,0.4895857988165681,0.3483672373298359,0.5192307692307693,0.5058835780485265,0.2,0.8384615384615385,0.38235294117647056,0.6770186335403726,0.27608201829852097,0.20054965210531453,0.8363575919004089,109,21,52,13
eeg_rest,tabular_numeric,eeg_rest_lightgbm,cv_fold,3,184,815,533,0.5,0.4706504494976203,0.3170285053921154,0.47858276044420944,0.4474025974025974,0.11290322580645161,0.8442622950819673,0.2692307692307692,0.6518987341772152,0.2895519325333322,0.21328429817900912,0.843177159860402,103,19,55,7
eeg_rest,tabular_numeric,eeg_rest_lightgbm,cv_fold,4,208,791,533,0.5,0.50857432775241,0.3505219995410406,0.4536783358701167,0.43209015917276633,0.136986301369863,0.7703703703703704,0.24390243902439024,0.6227544910179641,0.2943431638964818,0.24310842611612077,0.6281573251636565,104,31,63,10
