cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal,demographics,signal_vs_demographics,515,-0.021894374655110904,-0.096195257565904,0.05060958535768397,-0.012960573954759191,-0.07339246299540667,0.04890828238780786,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,515,-0.02195929496542992,-0.09492248651356795,0.034983293932561596,-0.004077520563637249,-0.062153913441281405,0.04914643267170356,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_qc,qc,signal_qc_vs_qc,515,0.0612117375921058,-0.0024155010642495037,0.12786161913825092,0.02495548912758022,-0.011309472366443748,0.07403669152789483,3,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,515,-0.04401597039633848,-0.10836191447173431,0.020247700637081135,-0.01843973084721906,-0.07478832643678628,0.03738872149833601,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,515,-0.03887103580355117,-0.1005977142570567,0.022611091476107303,-0.01500374134856891,-0.06514549922404032,0.04046511112317935,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_demographics,signal,signal_demographics_vs_signal,515,-6.492031031901657e-05,-0.029634320095935827,0.031087187127908866,0.008883053391121942,-0.021253674400535997,0.037871722838157776,2,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,515,-0.009137533677411047,-0.03669941796283225,0.019565596021840336,0.008235543509003684,-0.013648080170327048,0.033300974079179604,3,5,1000,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal,demographics,signal_vs_demographics,1412,-0.03358457640838042,-0.07280424299538203,0.008067115807353286,-0.004264703863733399,-0.04732929553676579,0.036270563163763356,2,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,1412,0.005733387997098549,-0.024422234556329723,0.037567845731740386,0.025491724929517068,-0.012096390938940457,0.06527159977203245,2,5,1000,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_qc,qc,signal_qc_vs_qc,1412,0.08075835462066505,0.03528150011795736,0.12518554452538275,0.05867624548811107,0.022423527999214956,0.09883499134886851,5,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,1412,0.008842915260651396,-0.02035602006222615,0.039708159763034816,0.019357700135279265,-0.015669591670579443,0.05959253777717757,2,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1412,0.005733387997098549,-0.024253553775065058,0.0359853278095654,0.025491724929517068,-0.008303937203859675,0.060641751443748775,2,5,1000,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_demographics,signal,signal_demographics_vs_signal,1412,0.03931796440547897,0.01439710750274988,0.06441591945804283,0.029756428793250467,0.003463276748947012,0.05620049758891482,3,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,1412,0.03931796440547897,0.013748824500825572,0.06624324732531754,0.029756428793250467,0.004454085970568288,0.05723861309248233,3,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal,demographics,signal_vs_demographics,1412,-0.03138541108202719,-0.07432463784657176,0.011875858206557344,-0.005437459368436481,-0.0456802153426314,0.035906599160267644,2,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,1412,0.018064271973256885,-0.0031951148153290584,0.04025996682178189,0.04478283008481798,0.015526832762466462,0.07670110696865978,4,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_qc,qc,signal_qc_vs_qc,1412,0.12204421457630327,0.0799744465979834,0.16222289143963817,0.07062683510630302,0.03898125059149322,0.10389578537444465,5,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,1412,0.013753193099750871,-0.007630202768886957,0.03561756037524971,0.031142223856433726,0.0014462885855917353,0.06321769799423092,4,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1412,0.017763621264204832,-0.0031872061672538836,0.03956752266534869,0.05099402705766787,0.017832521798128956,0.08408886374609145,4,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_demographics,signal,signal_demographics_vs_signal,1412,0.04944968305528408,0.021472767368285524,0.07548788791364539,0.05022028945325446,0.026881139188145678,0.07396031230506778,5,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,1412,0.04931302364207857,0.02338282563887713,0.07496149207021026,0.05281624196953316,0.02918825331465576,0.07540153985133194,5,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal,demographics,signal_vs_demographics,1412,-0.04328844597222681,-0.08453476518144296,-0.003975361657195394,-0.01648934103280575,-0.056162466836628226,0.024520610855113714,1,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,1412,-0.02573506995910735,-0.060661690134212534,0.0065655734515954614,0.0045609823735577315,-0.0312226899168528,0.04231761133377324,3,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_qc,qc,signal_qc_vs_qc,1412,0.09921158030842975,0.05856596423081968,0.14387517482656642,0.04845396291226334,0.01801832051869837,0.08406953773996567,4,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,1412,-0.024915113479874296,-0.055880704228892776,0.004841927797077213,-0.002344608049390351,-0.038761193757219446,0.033926677787855554,3,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1412,-0.018668727070127455,-0.05015427317675468,0.01317927335378074,0.007934726211507481,-0.0269436462857559,0.04341619219494992,3,5,1000,1
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,20260908,signal_demographics,signal,signal_demographics_vs_signal,1412,0.01755337601311946,-0.0016446837397378724,0.03689312484699064,0.02105032340636348,0.001086867732330982,0.041952581613430365,4,5,1000,1
