rep,model,demographics,signal,diff
32,random_forest,0.4455034722222222,0.5296354166666666,0.08413194444444438
32,hist_gradient_boosting,0.48614583333333333,0.5274826388888889,0.04133680555555558
33,random_forest,0.46092013888888894,0.505798611111111,0.04487847222222208
33,hist_gradient_boosting,0.47644097222222226,0.5193402777777778,0.042899305555555545
34,random_forest,0.4374131944444445,0.5214409722222222,0.0840277777777777
34,hist_gradient_boosting,0.41833333333333333,0.56078125,0.14244791666666667
35,random_forest,0.45310763888888883,0.5165625,0.0634548611111112
35,hist_gradient_boosting,0.44199652777777776,0.49437499999999995,0.052378472222222194
36,random_forest,0.4057465277777778,0.44480902777777775,0.039062499999999944
36,hist_gradient_boosting,0.4396180555555556,0.4882118055555556,0.04859374999999999
37,random_forest,0.5698090277777779,0.5066493055555555,-0.06315972222222233
37,hist_gradient_boosting,0.5522222222222222,0.49682291666666667,-0.0553993055555555
38,random_forest,0.5189583333333333,0.5146701388888889,-0.004288194444444393
38,hist_gradient_boosting,0.5211631944444444,0.5368576388888888,0.015694444444444455
39,random_forest,0.4965277777777777,0.5032638888888888,0.006736111111111165
39,hist_gradient_boosting,0.4792013888888889,0.5224652777777778,0.043263888888888935
40,random_forest,0.46281249999999996,0.4747916666666666,0.011979166666666652
40,hist_gradient_boosting,0.46652777777777765,0.48130208333333335,0.0147743055555557
41,random_forest,0.5341145833333333,0.44986111111111104,-0.08425347222222224
41,hist_gradient_boosting,0.5448263888888889,0.4373611111111111,-0.10746527777777781
42,random_forest,0.5017534722222222,0.5120138888888889,0.01026041666666666
42,hist_gradient_boosting,0.5287673611111111,0.5336111111111111,0.0048437500000000355
43,random_forest,0.47977430555555556,0.5444965277777778,0.06472222222222224
43,hist_gradient_boosting,0.47328125,0.5338020833333333,0.06052083333333336
44,random_forest,0.5498611111111111,0.49477430555555557,-0.05508680555555556
44,hist_gradient_boosting,0.5413020833333334,0.45914930555555555,-0.08215277777777785
45,random_forest,0.4633680555555555,0.5580381944444445,0.09467013888888898
45,hist_gradient_boosting,0.4425694444444444,0.51671875,0.0741493055555556
46,random_forest,0.45190972222222225,0.5312152777777778,0.07930555555555552
46,hist_gradient_boosting,0.4473958333333334,0.5358680555555555,0.08847222222222212
47,random_forest,0.4420486111111111,0.5013541666666667,0.059305555555555556
47,hist_gradient_boosting,0.45319444444444446,0.5593402777777777,0.10614583333333327
48,random_forest,0.51296875,0.49803819444444447,-0.014930555555555503
48,hist_gradient_boosting,0.5147222222222223,0.48442708333333334,-0.03029513888888896
49,random_forest,0.4326041666666667,0.5609201388888889,0.12831597222222224
49,hist_gradient_boosting,0.4303125,0.5660243055555556,0.13571180555555562
50,random_forest,0.4361458333333333,0.459375,0.02322916666666669
50,hist_gradient_boosting,0.44928819444444446,0.46258680555555554,0.01329861111111108
51,random_forest,0.5384548611111111,0.4650868055555555,-0.07336805555555559
51,hist_gradient_boosting,0.52375,0.42293402777777783,-0.10081597222222222
52,random_forest,0.5275520833333334,0.40907986111111105,-0.11847222222222231
52,hist_gradient_boosting,0.5103819444444445,0.41678819444444437,-0.09359375000000014
53,random_forest,0.41718750000000004,0.4899652777777778,0.07277777777777777
53,hist_gradient_boosting,0.3933506944444445,0.5240625,0.1307118055555555
54,random_forest,0.4503125,0.4809548611111111,0.03064236111111107
54,hist_gradient_boosting,0.4555034722222222,0.4549131944444444,-0.0005902777777778145
55,random_forest,0.5124652777777778,0.5076909722222221,-0.004774305555555691
55,hist_gradient_boosting,0.5149131944444444,0.5315798611111111,0.01666666666666672
56,random_forest,0.4209722222222222,0.5216840277777777,0.10071180555555548
56,hist_gradient_boosting,0.4211631944444445,0.5028472222222222,0.08168402777777772
