cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,outer_fold,n_subjects,selected_threshold_per_fold,predicted_positive_rate,threshold_source
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,logistic_regression,20260908,2,115,0.5,0.8,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,logistic_regression,20260908,3,60,0.45,0.9166666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,logistic_regression,20260908,4,144,0.5,0.875,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,random_forest,20260908,0,399,0.6,0.14536340852130325,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,random_forest,20260908,1,237,0.5,0.6329113924050633,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,random_forest,20260908,2,115,0.35,0.8956521739130435,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,random_forest,20260908,3,60,0.45,0.8333333333333334,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,random_forest,20260908,4,144,0.45,0.5625,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,hist_gradient_boosting,20260908,0,399,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,hist_gradient_boosting,20260908,1,237,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,hist_gradient_boosting,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,hist_gradient_boosting,20260908,3,60,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,hist_gradient_boosting,20260908,4,144,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,logistic_regression,20260908,0,399,0.5,0.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,logistic_regression,20260908,1,237,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,logistic_regression,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,logistic_regression,20260908,3,60,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,logistic_regression,20260908,4,144,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,random_forest,20260908,0,399,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,random_forest,20260908,1,237,0.5,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,random_forest,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,random_forest,20260908,3,60,0.5,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,fnirs_device_only,random_forest,20260908,4,144,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,hist_gradient_boosting,20260908,0,399,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,hist_gradient_boosting,20260908,1,237,0.5,0.6708860759493671,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,hist_gradient_boosting,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,hist_gradient_boosting,20260908,3,60,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,hist_gradient_boosting,20260908,4,144,0.5,0.6041666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,logistic_regression,20260908,0,399,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,logistic_regression,20260908,1,237,0.5,0.6708860759493671,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,logistic_regression,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,logistic_regression,20260908,3,60,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,logistic_regression,20260908,4,144,0.5,0.6041666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,random_forest,20260908,0,399,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,random_forest,20260908,1,237,0.5,0.6708860759493671,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,random_forest,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,random_forest,20260908,3,60,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_group_only,random_forest,20260908,4,144,0.5,0.6041666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,hist_gradient_boosting,20260908,0,399,0.55,0.22556390977443608,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,hist_gradient_boosting,20260908,1,237,0.45,0.6962025316455697,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,hist_gradient_boosting,20260908,2,115,0.55,0.6,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,hist_gradient_boosting,20260908,3,60,0.45,0.8166666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,grade_only,hist_gradient_boosting,20260908,4,144,0.45,0.5694444444444444,inner_cv_outer_train_only
