cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative,feature_set_b,comparator_auroc,comparator_above_chance,significant_positive_credited
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_vs_demographics,-0.0313854110820271,-0.0743246378465717,0.0118758582065573,0,0,demographics,0.5838331914177888,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_demographics_vs_demographics,0.0180642719732568,-0.003195114815329,0.0402599668217818,0,0,demographics,0.5838331914177888,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,0.0137531930997508,-0.0076302027688869,0.0356175603752497,0,0,qc_demographics,0.5878436195822427,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_qc_demographics_vs_demographics,0.0177636212642048,-0.0031872061672538,0.0395675226653486,0,0,demographics,0.5838331914177888,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,signal_vs_demographics,-0.0432884459722268,-0.0845347651814429,-0.0039753616571953,0,1,demographics,0.5803441714760269,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,signal_demographics_vs_demographics,-0.0257350699591073,-0.0606616901342125,0.0065655734515954,0,0,demographics,0.5803441714760269,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0249151134798742,-0.0558807042288927,0.0048419277970772,0,0,qc_demographics,0.5865905578857737,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,signal_qc_demographics_vs_demographics,-0.0186687270701274,-0.0501542731767546,0.0131792733537807,0,0,demographics,0.5803441714760269,1,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,signal_vs_demographics,0.0710763888888888,-0.0137200726337038,0.1526881547627162,0,0,demographics,0.4405555555555555,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,signal_demographics_vs_demographics,0.0403472222222222,-0.0470809042422738,0.1203255241634696,0,0,demographics,0.4405555555555555,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0403472222222222,-0.0382325450316941,0.1204862948901859,0,0,qc_demographics,0.4405555555555555,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,hist_gradient_boosting,signal_qc_demographics_vs_demographics,0.0403472222222222,-0.0421448809832946,0.1189356997098366,0,0,demographics,0.4405555555555555,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,signal_vs_demographics,0.0670659722222221,-0.0178531280547409,0.1541893833955278,0,0,demographics,0.4667534722222222,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,signal_demographics_vs_demographics,0.0370833333333333,-0.0311071435433284,0.1138894220275552,0,0,demographics,0.4667534722222222,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,signal_qc_demographics_vs_qc_demographics,0.0730902777777778,0.0073033858305813,0.1402204317807262,1,0,qc_demographics,0.4446006944444444,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,logistic_regression,signal_qc_demographics_vs_demographics,0.0509375,-0.0194161127702547,0.1210829683123666,0,0,demographics,0.4667534722222222,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,random_forest,signal_vs_demographics,0.0846006944444444,0.0061218691327347,0.1696524224331591,1,0,demographics,0.4291840277777778,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,random_forest,signal_demographics_vs_demographics,0.0390625,-0.0403610488413915,0.1252979328681228,0,0,demographics,0.4291840277777778,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,random_forest,signal_qc_demographics_vs_qc_demographics,0.0361805555555555,-0.0419701377615729,0.1127066486474857,0,0,qc_demographics,0.4357465277777778,0,0
group_cv,behaviour_yiruid_combined_native,behaviour,yiruid,combined,random_forest,signal_qc_demographics_vs_demographics,0.0427430555555555,-0.033314806728036,0.1162997159090908,0,0,demographics,0.4291840277777778,0,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,hist_gradient_boosting,signal_vs_demographics,-0.0688467492260061,-0.124076845681041,-0.0090453891952234,0,1,demographics,0.5407686353893784,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0093593712788758,-0.0571901019368581,0.0352983668241595,0,0,demographics,0.5407686353893784,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.010029173612765,-0.0583981621211946,0.034525270269581,0,0,qc_demographics,0.5414384377232675,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0093593712788758,-0.0532342570897149,0.0405723182813178,0,0,demographics,0.5407686353893784,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,logistic_regression,signal_vs_demographics,-0.0727077875684686,-0.129286865426682,-0.018411969064748,0,1,demographics,0.5863062633960466,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,logistic_regression,signal_demographics_vs_demographics,-0.0119224815432245,-0.0384844807722973,0.0148149655953748,0,0,demographics,0.5863062633960466,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0074660633484162,-0.0320247972487054,0.0186006261435123,0,0,qc_demographics,0.5726571802810193,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,logistic_regression,signal_qc_demographics_vs_demographics,-0.0211151464634435,-0.0467194043092391,0.0059749471825008,0,0,demographics,0.5863062633960466,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,random_forest,signal_vs_demographics,-0.1104876160990713,-0.1673734083312985,-0.0493839099843678,0,1,demographics,0.5574511788521077,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,random_forest,signal_demographics_vs_demographics,-0.0360234579661824,-0.0783528042102495,0.0059317047118939,0,0,demographics,0.5574511788521077,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0529262919742795,-0.1010870755085005,-0.0075877393222555,0,1,qc_demographics,0.5578411526553941,1,0
group_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,random_forest,signal_qc_demographics_vs_demographics,-0.0525363181709931,-0.0986119397958646,-0.0091308672687983,0,1,demographics,0.5574511788521077,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,hist_gradient_boosting,signal_vs_demographics,-0.0501993638277854,-0.1214632838133884,0.0216043473469853,0,0,demographics,0.543404566701014,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,hist_gradient_boosting,signal_demographics_vs_demographics,-0.076960410973224,-0.1424470576531045,-0.0070584575948589,0,1,demographics,0.543404566701014,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.076960410973224,-0.1401217121450227,-0.0120007741146537,0,1,qc_demographics,0.543404566701014,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.076960410973224,-0.1439269286880411,-0.0152107651861736,0,1,demographics,0.543404566701014,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,logistic_regression,signal_vs_demographics,-0.0436360378119258,-0.1120306945434186,0.0266907045320115,0,0,demographics,0.5522154025357285,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,logistic_regression,signal_demographics_vs_demographics,-0.0042486149067394,-0.0510010398087162,0.0395660117309611,0,0,demographics,0.5522154025357285,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.00424114809671,-0.0582743339631352,0.0487836820660786,0,0,qc_demographics,0.5532458223197885,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,logistic_regression,signal_qc_demographics_vs_demographics,-0.0032107283126501,-0.0485490842277926,0.0447431086771177,0,0,demographics,0.5522154025357285,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,random_forest,signal_vs_demographics,-0.077438286815107,-0.1457285868685194,-0.0119468810561404,0,1,demographics,0.5320400818362381,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,random_forest,signal_demographics_vs_demographics,-0.0753923808670461,-0.1440863642622045,-0.0082882948619929,0,1,demographics,0.5320400818362381,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0645207054642116,-0.1277256465867301,-0.0023026561282509,0,1,qc_demographics,0.5339366515837105,1,0
group_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,random_forest,signal_qc_demographics_vs_demographics,-0.0626241357167392,-0.1251134570426845,0.0038370847941449,0,0,demographics,0.5320400818362381,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,signal_vs_demographics,-0.0864661654135339,-0.1394249008727912,-0.0299026330374895,0,1,demographics,0.6111321650901448,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0131856859891665,-0.0494028905267787,0.0256171493466423,0,0,demographics,0.6111321650901448,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0131856859891665,-0.0535079378888787,0.0295428135643208,0,0,qc_demographics,0.6111321650901448,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0131856859891665,-0.0509854428625007,0.0250115669319821,0,0,demographics,0.6111321650901448,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,signal_vs_demographics,-0.1018145161290321,-0.1554270905275942,-0.0462650370453014,0,1,demographics,0.6304875090953188,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,signal_demographics_vs_demographics,-0.0064223057644108,-0.0286948373012532,0.01551364318589,0,0,demographics,0.6304875090953188,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0064324116743469,-0.0273678538515511,0.0168406245857166,0,0,qc_demographics,0.6304875090953188,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,signal_qc_demographics_vs_demographics,-0.0064324116743469,-0.0271884068990011,0.0151993101166717,0,0,demographics,0.6304875090953188,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,random_forest,signal_vs_demographics,-0.0548195084485406,-0.1083964510811576,-0.0025247712651442,0,1,demographics,0.6047149122807017,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,random_forest,signal_demographics_vs_demographics,-0.0029888228636105,-0.0448840171133535,0.0355525183672506,0,0,demographics,0.6047149122807017,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0166671719621634,-0.058645219375168,0.0247211380296585,0,0,qc_demographics,0.6053212668768696,1,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,random_forest,signal_qc_demographics_vs_demographics,-0.0160608173659956,-0.0593405102533053,0.0253359976296627,0,0,demographics,0.6047149122807017,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,signal_vs_demographics,-0.0076833888562283,-0.08820014830817,0.0616289461149876,0,0,demographics,0.539331439022797,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,signal_demographics_vs_demographics,0.0104921941341694,-0.0611369912508695,0.0724007814614924,0,0,demographics,0.539331439022797,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0104921941341694,-0.0570191903383361,0.0781941766157516,0,0,qc_demographics,0.539331439022797,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,signal_qc_demographics_vs_demographics,0.0104921941341694,-0.05737006107871,0.0799832495964919,0,0,demographics,0.539331439022797,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,signal_vs_demographics,-0.0412829054804363,-0.1126794565513083,0.0319976414487007,0,0,demographics,0.5659742635051276,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,signal_demographics_vs_demographics,-0.0133744855967077,-0.0647680325100311,0.0434888155405787,0,0,demographics,0.5659742635051276,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.01334182507022,-0.0654563977857537,0.0403620767708313,0,0,qc_demographics,0.5659742635051276,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,signal_qc_demographics_vs_demographics,-0.01334182507022,-0.0678472313994979,0.0371680704249556,0,0,demographics,0.5659742635051276,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,signal_vs_demographics,0.0137337513880723,-0.0559501592269159,0.0833965115275018,0,0,demographics,0.5471781305114639,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,signal_demographics_vs_demographics,0.0091286171533083,-0.0610237217752392,0.0816591976966638,0,0,demographics,0.5471781305114639,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,signal_qc_demographics_vs_qc_demographics,0.0179469593049841,-0.053703402752524,0.0835534586988835,0,0,qc_demographics,0.555179959500947,1,0
standard_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,signal_qc_demographics_vs_demographics,0.0259487882944672,-0.0493957385757925,0.0916444898260139,0,0,demographics,0.5471781305114639,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,signal_vs_demographics,-0.032727951439608,-0.1062333696554134,0.0399858707732612,0,0,demographics,0.5449329697795956,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0134141591196806,-0.073156525715572,0.0542968256244281,0,0,demographics,0.5449329697795956,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0134141591196806,-0.0780345624718332,0.0455098742396623,0,0,qc_demographics,0.5449329697795956,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0134141591196806,-0.0771392588356061,0.0519775862319066,0,0,demographics,0.5449329697795956,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_vs_demographics,-0.0208475346512156,-0.090976673905168,0.0475550620467759,0,0,demographics,0.558712305644821,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_demographics_vs_demographics,0.0166764047132145,-0.0274010871958683,0.0641226102941177,0,0,demographics,0.558712305644821,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_qc_demographics_vs_qc_demographics,0.0166764047132145,-0.0311400033985896,0.0593705139641802,0,0,qc_demographics,0.558712305644821,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_qc_demographics_vs_demographics,0.0166764047132145,-0.0298085442336812,0.0611923732558306,0,0,demographics,0.558712305644821,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_vs_demographics,-0.0540948485733762,-0.1314780793660889,0.0159873179999039,0,0,demographics,0.5510273639107995,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_demographics_vs_demographics,-0.0348622066413477,-0.1041390130874928,0.0312317767224483,0,0,demographics,0.5510273639107995,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0332391988833706,-0.096253734232052,0.0348908325649708,0,0,qc_demographics,0.5527802122894148,1,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_qc_demographics_vs_demographics,-0.0314863505047554,-0.0998439292747777,0.0397143004101862,0,0,demographics,0.5510273639107995,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_vs_demographics,-0.0518159933562499,-0.0924837877632264,-0.0078391669709169,0,1,demographics,0.5916049071241603,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_demographics_vs_demographics,-0.002349490680879,-0.0322280309395098,0.0273708278772181,0,0,demographics,0.5916049071241603,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0027289833590882,-0.0274569309313271,0.0312977462204412,0,0,qc_demographics,0.5872160375077529,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0016598862573191,-0.0315162097073121,0.0297936623525583,0,0,demographics,0.5916049071241603,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_vs_demographics,-0.0321370378546574,-0.0722053307594877,0.0087316902703357,0,0,demographics,0.5902561838384476,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_demographics_vs_demographics,0.0181031673447075,-0.0045001043920658,0.0403420155795411,0,0,demographics,0.5902561838384476,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,0.0159534096523594,-0.0059835848119438,0.0387774428544928,0,0,qc_demographics,0.5911949288845438,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,logistic_regression,signal_qc_demographics_vs_demographics,0.0168921546984557,-0.0086031863616142,0.0390230664758691,0,0,demographics,0.5902561838384476,1,0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,random_forest,signal_vs_demographics,-0.0543452437268073,-0.092656569444872,-0.0134094468280453,0,1,demographics,0.595863424684895,1,0
