cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction,comparator_auroc,goal,interval_excludes_zero,comparator_above_chance,folds_at_least_4
group_cv,eeg_oddball_native,eeg,,oddball,random_forest,20260707,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1827,-0.0664624429322078,-0.093017845617698,-0.0363573768381709,-0.0580885472397234,-0.0872613237283579,-0.0262965019747949,1,5,1000,1,0.5782703613575675,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,20260707,signal_demographics,demographics,signal_demographics_vs_demographics,1022,-0.0485752862802044,-0.0905022057153643,-0.0054605905421192,-0.0336388499623476,-0.0754391394720116,0.0048580103255138,1,5,1000,1,0.5556510884379737,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,20260707,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1022,-0.0434165106296253,-0.0894541008186874,0.0022412718577232,-0.0398636802051439,-0.080555476843138,0.0021607717483842,1,5,1000,1,0.5556510884379737,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,20260707,signal_demographics,demographics,signal_demographics_vs_demographics,1022,-0.065365721103426,-0.1016582992710983,-0.0252698442416977,-0.054657580097348,-0.0946077369212048,-0.0158654874974621,1,5,1000,1,0.5790991036892676,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,20260707,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1022,-0.0684652323996586,-0.1072317302254424,-0.0317840893238042,-0.0556191967431313,-0.0960122715802082,-0.0134425306042411,1,5,1000,1,0.5790991036892676,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,random_forest,20260707,signal_demographics,demographics,signal_demographics_vs_demographics,1022,-0.0672700098929606,-0.1118497809062038,-0.0215720811028075,-0.0460395447876333,-0.0834258999499348,-0.00767529301445,1,5,1000,1,0.5456307505487833,goal2_7,False,True,False
group_cv,eeg_rest_native,eeg,,rest,random_forest,20260707,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1022,-0.0636142849257602,-0.1118282780191321,-0.0159147355617317,-0.0381249742465851,-0.0815281942010479,0.0044938192754177,1,5,1000,1,0.5456307505487833,goal2_7,False,True,False
group_cv,face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_demographics,demographics,face_demographics_vs_demographics,3565,0.0066398661312513,-0.0060974615063119,0.0197109192306365,0.0133816671658106,-0.0080510282165701,0.0354347166560757,4,5,1000,1,0.6566298676451394,goal2_7,False,True,True
group_cv,face_self_intro_native,face,,self_intro,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3565,0.007807460251205,-0.0054781573925964,0.0195284691267766,0.0069557644336357,-0.0126014981395263,0.0266555337971105,4,5,1000,0,0.6566298676451394,goal2_7,False,True,True
group_cv,face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_demographics,demographics,face_demographics_vs_demographics,3565,-0.0016610826017501,-0.0126684743201455,0.0090685693984734,0.0102780927298027,-0.0092740858391843,0.030040188616653,1,5,1000,0,0.6607728165304161,goal2_7,False,True,False
group_cv,face_self_intro_native,face,,self_intro,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3565,-0.0043095141900724,-0.0153406027412808,0.0068900312759965,0.0042739138694034,-0.0146979560377197,0.0260189936325021,0,5,1000,0,0.6607728165304161,goal2_7,False,True,False
group_cv,face_self_intro_native,face,,self_intro,random_forest,20260707,face_demographics,demographics,face_demographics_vs_demographics,3565,-0.0279924970405572,-0.040877853256083,-0.0131863280635221,-0.0230375094697797,-0.0439587130328088,0.0004931154075359,2,5,1000,0,0.6578373239520177,goal2_7,False,True,False
group_cv,face_self_intro_native,face,,self_intro,random_forest,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3565,-0.0036119711042311,-0.0173742650054966,0.009827825811233,0.015730612437762,-0.0064030659946549,0.0380272045972609,2,5,1000,1,0.6578373239520177,goal2_7,False,True,False
group_cv,face_task_native,face,,task,hist_gradient_boosting,20260707,face_demographics,demographics,face_demographics_vs_demographics,3558,-0.0123082404373705,-0.0251774899839348,0.0008196526958281,0.0004210794828549,-0.0190538252549742,0.0235839001367586,1,5,1000,0,0.6534671987563087,goal2_7,False,True,False
group_cv,face_task_native,face,,task,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0234094464634303,0.0087793319848684,0.038520909287983,0.0431131158497067,0.0194001185197351,0.0689206567824728,5,5,1000,1,0.6534671987563087,goal2_7,True,True,True
group_cv,face_task_native,face,,task,logistic_regression,20260707,face_demographics,demographics,face_demographics_vs_demographics,3558,-0.0010449512013763,-0.0108759420061504,0.0088473020780068,0.004404479753909,-0.0123492204295874,0.0225442534112487,0,5,1000,0,0.6593970477207051,goal2_7,False,True,False
group_cv,face_task_native,face,,task,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0244611200099191,0.0119133727926598,0.0375085763643425,0.0254334774159198,0.004754685123792,0.04831171179133,5,5,1000,1,0.6593970477207051,goal2_7,True,True,True
group_cv,face_task_native,face,,task,random_forest,20260707,face_demographics,demographics,face_demographics_vs_demographics,3558,-0.0126578023832207,-0.0237804247423117,-0.0008303514154192,-0.0054859267082277,-0.0259076009900035,0.0158749620993207,1,5,1000,0,0.6585126284509274,goal2_7,False,True,False
group_cv,face_task_native,face,,task,random_forest,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0070162609793634,-0.0084973952317265,0.0227210847804519,0.0207673394165211,-0.001938209269003,0.0449823046083563,4,5,1000,1,0.6585126284509274,goal2_7,False,True,True
group_cv,face_two_video_native,face,,two_video,hist_gradient_boosting,20260707,face_demographics,demographics,face_demographics_vs_demographics,3567,-0.0021139777667855,-0.0149204591260368,0.0108231453267971,0.0032427646909994,-0.0183461806345177,0.0261473254676937,3,5,1000,0,0.6566273798056361,goal2_7,False,True,False
group_cv,face_two_video_native,face,,two_video,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.023060730371136,0.0085759668980569,0.0379313227413073,0.0321979000166337,0.0081140344078195,0.0562226638210878,5,5,1000,1,0.6566273798056361,goal2_7,True,True,True
group_cv,face_two_video_native,face,,two_video,logistic_regression,20260707,face_demographics,demographics,face_demographics_vs_demographics,3567,0.0009223548313913,-0.0096746124421823,0.0119036910728186,0.0100828089625789,-0.0082090154930472,0.0305962145530297,2,5,1000,1,0.6598608285572958,goal2_7,False,True,False
