L_id,task,feature_status,feature_error,sfreq,n_epochs_total,n_epochs_good,bad_epoch_rate,n_channels_used,duration_sec_loaded
L3617,rest,ok,,250.0,61,60,0.016393442622950838,32,307.996
L3618,rest,ok,,250.0,66,60,0.09090909090909094,32,330.996
L3619,rest,ok,,250.0,126,111,0.11904761904761907,32,631.996
L3620,rest,ok,,250.0,67,55,0.17910447761194026,32,336.996
L4034,rest,ok,,250.0,66,60,0.09090909090909094,32,333.996
L4054,rest,ok,,250.0,68,61,0.1029411764705882,32,341.996
L4061,rest,ok,,250.0,65,56,0.1384615384615384,32,328.996
L4077,rest,ok,,250.0,64,57,0.109375,32,320.996
L4078,rest,ok,,250.0,96,93,0.03125,32,481.996
L4080,rest,ok,,250.0,65,52,0.19999999999999996,32,327.996
L4081,rest,ok,,250.0,79,54,0.31645569620253167,32,394.996
L4082,rest,ok,,250.0,66,64,0.030303030303030276,32,329.996
L4083,rest,ok,,250.0,66,65,0.015151515151515138,32,333.996
L4084,rest,ok,,250.0,64,32,0.5,32,319.996
L4085,rest,ok,,250.0,65,64,0.01538461538461533,32,328.996
L4086,rest,ok,,250.0,74,59,0.20270270270270274,32,372.996
L4087,rest,ok,,250.0,64,52,0.1875,32,319.996
L4089,rest,ok,,250.0,62,39,0.3709677419354839,32,310.996
L4093,rest,ok,,250.0,86,83,0.03488372093023251,32,433.996
L4094,rest,ok,,250.0,82,31,0.6219512195121951,32,413.996
L4095,rest,ok,,250.0,65,52,0.19999999999999996,32,325.996
L4096,rest,ok,,250.0,68,44,0.3529411764705882,32,342.996
L4097,rest,ok,,250.0,64,51,0.203125,32,320.996
L4098,rest,ok,,250.0,65,57,0.12307692307692308,32,327.996
L4099,rest,ok,,250.0,64,41,0.359375,32,319.996
L4100,rest,ok,,250.0,84,67,0.20238095238095233,32,422.996
L4101,rest,ok,,250.0,71,25,0.647887323943662,32,358.996
L4102,rest,ok,,250.0,68,42,0.38235294117647056,32,341.996
L4103,rest,ok,,250.0,70,62,0.11428571428571432,32,353.996
L4105,rest,ok,,250.0,74,61,0.17567567567567566,32,373.996
L4108,rest,ok,,250.0,62,56,0.09677419354838712,32,312.996
L411,rest,ok,,250.0,63,48,0.23809523809523814,32,316.996
L4110,rest,fail,too_few_good_epochs:0,250.0,66,0,1.0,32,333.996
L4111,rest,ok,,250.0,68,58,0.1470588235294118,32,342.996
L4112,rest,fail,too_few_good_epochs:0,250.0,75,0,1.0,32,375.996
L4114,rest,ok,,250.0,74,49,0.33783783783783783,32,373.996
L4115,rest,ok,,250.0,66,63,0.045454545454545414,32,329.996
L4120,rest,ok,,250.0,62,51,0.17741935483870963,32,310.996
L414,rest,ok,,250.0,87,50,0.4252873563218391,32,434.996
L415,rest,ok,,250.0,70,50,0.2857142857142857,32,353.996
L416,rest,ok,,250.0,76,53,0.3026315789473685,32,380.996
L417,rest,ok,,250.0,78,65,0.16666666666666663,32,392.996
L418,rest,ok,,250.0,63,63,0.0,32,315.996
L419,rest,ok,,250.0,87,72,0.1724137931034483,32,438.996
L421,rest,ok,,250.0,62,35,0.4354838709677419,32,312.996
L423,rest,ok,,250.0,65,44,0.32307692307692304,32,327.996
L426,rest,ok,,250.0,73,56,0.23287671232876717,32,366.996
L428,rest,ok,,250.0,64,60,0.0625,32,320.996
L429,rest,ok,,250.0,62,54,0.12903225806451613,32,309.996
L430,rest,ok,,250.0,63,46,0.2698412698412699,32,317.996
L431,rest,ok,,250.0,63,55,0.12698412698412698,32,317.996
L432,rest,ok,,250.0,71,43,0.3943661971830986,32,357.996
L434,rest,ok,,250.0,61,58,0.049180327868852514,32,307.996
L435,rest,ok,,250.0,62,48,0.22580645161290325,32,310.996
L436,rest,ok,,250.0,61,56,0.08196721311475408,32,305.996
L437,rest,ok,,250.0,71,62,0.12676056338028174,32,354.996
L438,rest,ok,,250.0,62,29,0.532258064516129,32,312.996
L439,rest,ok,,250.0,87,49,0.4367816091954023,32,436.996
L440,rest,ok,,250.0,70,61,0.12857142857142856,32,351.996
L4401,rest,ok,,250.0,69,47,0.3188405797101449,32,348.996
L4402,rest,ok,,250.0,65,61,0.06153846153846154,32,328.996
L4403,rest,ok,,250.0,63,59,0.06349206349206349,32,315.996
L4404,rest,ok,,250.0,66,59,0.10606060606060608,32,330.996
L4406,rest,ok,,250.0,64,49,0.234375,32,322.996
L4408,rest,ok,,250.0,70,20,0.7142857142857143,32,353.996
L4409,rest,ok,,250.0,61,37,0.39344262295081966,32,307.996
L441,rest,ok,,250.0,65,58,0.10769230769230764,32,327.996
L4414,rest,ok,,250.0,63,55,0.12698412698412698,32,315.996
L443,rest,ok,,250.0,73,49,0.3287671232876712,32,364.996
L444,rest,ok,,250.0,70,32,0.5428571428571429,32,352.996
L445,rest,ok,,250.0,62,23,0.6290322580645161,32,312.996
L446,rest,ok,,250.0,63,61,0.031746031746031744,32,316.996
L447,rest,ok,,250.0,99,87,0.12121212121212122,32,494.996
